"","variance.1","variance.2"
"1",2.8,1.8
"2",3.8,20
"3",2,0.8
"4",1.6,1.8
"5",2.2,2
"6",3.2,1.2
"7",1.6,1.6
"8",2,1.2
"9",2.6,1.2
"10",2.6,17.6
"11",3.4,1.6
"12",1.6,1.6
"13",2.4,1
"14",2.6,1
"15",1.4,2.6
"16",2.8,0.6
"17",1.4,12.6
"18",7.8,2.4
"19",1.8,0.6
"20",2.2,0.6
"21",2,20
"22",2.2,0.6
"23",2,1
"24",2,0.8
"25",2.2,0.6
"26",1.8,0.6
"27",2.4,1.2
"28",1.8,1.2
"29",2.4,0.6
"30",1.6,1.4
"31",1.4,3.2
"32",2.4,1
"33",2.8,3.8
"34",2,0.6
"35",2.8,1
"36",1.6,20
"37",1.4,0.6
"38",2.6,1.2
"39",2.2,0.6
"40",1.8,2.2
"41",2.2,20
"42",4.8,4
"43",2.4,0.6
"44",4.8,2.6
"45",2.4,0.6
"46",2,1.2
"47",3.6,3.8
"48",3.2,1.6
"49",2.2,0.8
"50",2.6,4.2
"51",3,0.8
"52",3.2,1.6
"53",2.4,0.8
"54",3.2,2.4
"55",2,1.8
"56",1.6,0.8
"57",2,1.6
"58",1.8,2.4
"59",2,0.8
"60",3.4,1.4
"61",1.8,0.8
"62",1.8,1
"63",2.8,0.8
"64",2,0.4
"65",2,1.4
"66",2.2,0.8
"67",6.4,3.2
"68",3,1.2
"69",1.6,0.8
"70",2,0.4
"71",2.6,0.8
"72",3.4,1.2
"73",2.2,0.6
"74",3,0.8
"75",4.6,1.4
"76",2,1.4
"77",1.4,1
"78",6,5.6
"79",1.6,0.6
"80",2.2,1.2
"81",2.4,1.4
"82",2.4,0.8
"83",2,1
"84",2.4,1.6
"85",2.8,0.8
"86",2.8,0.8
"87",2.2,2
"88",4.2,1
"89",1.2,8.2
"90",3.4,1.2
"91",1.6,1
"92",3,0.8
"93",2.6,0.8
"94",1.6,0.8
"95",1.8,0.8
"96",3,1
"97",3.4,2.4
"98",2.2,2
"99",1.6,2.2
"100",2.6,1.2
