"","variance.1","variance.2"
"1",2.2,0.6
"2",1.4,1.6
"3",1.2,1.8
"4",1.2,1.2
"5",2,0.6
"6",2,0.8
"7",2.4,0.8
"8",1.8,1.2
"9",2.8,0.8
"10",3.6,1.6
"11",2.4,4.6
"12",1.4,2.2
"13",2.4,1.6
"14",2.6,0.8
"15",1.8,0.8
"16",1.6,2.4
"17",1.6,1.4
"18",1.4,0.8
"19",2.8,4
"20",2.6,1.2
"21",2.6,1
"22",2,2.4
"23",2.6,1.4
"24",1.8,0.8
"25",1.4,1.2
"26",2.6,1.4
"27",2.6,2.6
"28",2,3
"29",2,1
"30",4,1.6
"31",2.2,0.6
"32",1.6,1.2
"33",1.8,0.6
"34",3.6,2.2
"35",2.6,0.8
"36",2.4,0.8
"37",2,6.6
"38",2.8,0.8
"39",1.8,3.8
"40",2.8,2
"41",2.2,0.6
"42",2.2,0.6
"43",2,1.8
"44",1.2,2.6
"45",1.6,0.8
"46",2,1
"47",1.8,5.6
"48",3.6,2.6
"49",1.8,0.6
"50",2,1.2
"51",1.8,0.8
"52",2.2,0.6
"53",2.2,0.8
"54",2.2,1.6
"55",2,0.4
"56",1.6,0.6
"57",6.2,4
"58",2.6,0.8
"59",3.4,1.8
"60",1.6,1.2
"61",2.2,6.2
"62",1.6,1
"63",2.6,1.4
"64",1.8,0.8
"65",3.4,2
"66",2.8,0.8
"67",2,1
"68",5.2,1.6
"69",3,2
"70",2.8,11.6
"71",2.2,0.8
"72",3.2,0.8
"73",2,0.8
"74",1.8,1.6
"75",1.6,4
"76",2,0.8
"77",2.6,1.4
"78",3.8,1.6
"79",2.2,0.8
"80",3,2
"81",2.2,0.6
"82",3.2,1.2
"83",5.2,2.2
"84",1.2,1.6
"85",3.8,1.6
"86",2.8,1.8
"87",1.8,3.2
"88",2.2,1
"89",2.4,0.6
"90",2,0.8
"91",2.6,1.4
"92",1.4,3
"93",2.6,1
"94",2.6,1
"95",2.4,1
"96",2.4,1.8
"97",2.8,1
"98",4,1.4
"99",1.8,0.6
"100",2.6,4.8
