"","variance.1","variance.2"
"1",3,1.6
"2",5.6,2.6
"3",3.4,0.8
"4",2.6,1.6
"5",11.8,20
"6",9.8,20
"7",3.4,2
"8",5,2.4
"9",7.8,20
"10",7,5.8
"11",3.6,5
"12",2.4,2.2
"13",3.2,1.8
"14",6.2,1.6
"15",4.6,2.6
"16",5.2,17
"17",4.8,1.6
"18",4.6,3.6
"19",15,6.8
"20",3.8,0.6
"21",3,1
"22",3.4,2.8
"23",4,4.6
"24",4.8,4.2
"25",5.8,6.8
"26",13.8,11
"27",1,20
"28",7.2,7
"29",17.2,8.4
"30",20,18.8
"31",7.4,3.6
"32",1.4,20
"33",3.2,1.4
"34",9.4,20
"35",3.2,1.4
"36",3.8,3
"37",7.2,3
"38",8,4.2
"39",2.4,0.8
"40",5.8,2
"41",3.4,1.4
"42",6,4.8
"43",4.8,2.4
"44",8,13.6
"45",2.4,1.6
"46",11.4,20
"47",1.8,2
"48",13.2,11.2
"49",6.8,20
"50",2.6,1.6
"51",11.6,3.6
"52",17.6,20
"53",9.6,20
"54",5.4,3.6
"55",3.6,1.2
"56",7.2,4.2
"57",2.8,1
"58",9.8,11.6
"59",4.6,1.4
"60",14.2,20
"61",9.4,3
"62",4.4,2.2
"63",7.2,2.6
"64",3.6,1.2
"65",6,2.2
"66",5.2,20
"67",3.6,20
"68",9.8,8.8
"69",5.2,8.6
"70",3.4,13.2
"71",11.4,20
"72",5.4,3.2
"73",16.4,20
"74",3.4,13.8
"75",6,20
"76",6,3.2
"77",4.8,3.4
"78",20,20
"79",3.8,1
"80",2.4,1
"81",7,20
"82",2.6,2.6
"83",1,20
"84",4.6,1.8
"85",11.4,13.2
"86",5.2,3.6
"87",2.6,1.2
"88",4.2,20
"89",4,2.4
"90",2.8,1.2
"91",7,6.4
"92",10.6,20
"93",3.4,1.2
"94",6.2,1.2
"95",20,11.2
"96",6.6,5.6
"97",3,1.4
"98",4.8,1.4
"99",5.4,20
"100",3.2,2.8
