"","variance.1","variance.2"
"1",1.4,1.8
"2",1.8,0.8
"3",2.2,2.8
"4",1.8,1.2
"5",1.8,1.2
"6",2.2,0.6
"7",2.4,1.2
"8",2.6,1.2
"9",1.4,1.4
"10",2,1.2
"11",2.4,3.4
"12",2.4,0.8
"13",2,1.8
"14",2.4,1
"15",2.6,1
"16",4.2,2.4
"17",1.4,1.8
"18",1.8,0.8
"19",2.4,1.6
"20",2.4,0.8
"21",1.6,1
"22",1.2,2.4
"23",1.2,1.2
"24",1.8,1.6
"25",4,13.8
"26",2.2,0.8
"27",1.6,0.8
"28",2.2,1
"29",1.8,0.6
"30",2,0.8
"31",2.6,1.2
"32",2,0.8
"33",1.4,1
"34",2,1.4
"35",2.8,1.4
"36",1.6,0.6
"37",2.6,0.8
"38",2.4,0.8
"39",1.6,1
"40",1.8,0.8
"41",2.6,5.6
"42",4.8,6.8
"43",1.8,1.4
"44",2,1.2
"45",1.6,0.8
"46",2.2,0.8
"47",1.6,1.2
"48",2.8,1
"49",1.4,1.6
"50",3.2,2
"51",2.2,0.8
"52",2,1
"53",2.6,1.2
"54",2.2,1.6
"55",2.6,1
"56",2.2,0.6
"57",4.6,1.4
"58",2.4,1
"59",2.2,1.2
"60",4,1.2
"61",1.6,0.6
"62",1.6,1
"63",3.2,1.6
"64",2.4,1.2
"65",2,1
"66",3,1.2
"67",1.8,1.4
"68",2.8,1.6
"69",1.8,1
"70",2.2,1.2
"71",2.6,0.6
"72",3,3.4
"73",3.6,5.2
"74",2,1
"75",1.6,1.6
"76",2.4,1.2
"77",4,1.6
"78",3.4,1.6
"79",1.8,1
"80",2.2,5.2
"81",3,0.6
"82",3.4,2.4
"83",1.8,1
"84",2.6,0.8
"85",2.4,1
"86",1.8,0.6
"87",3,1.4
"88",3.2,1.4
"89",2,0.8
"90",1.6,1
"91",5.2,7.8
"92",4.4,1.6
"93",1.8,0.6
"94",1.4,1.6
"95",1.6,1.8
"96",1.4,3.2
"97",3.2,1
"98",2,0.8
"99",1.4,4.6
"100",2,1.4
