"","variance.1","variance.2"
"1",5.4,20
"2",16.8,20
"3",2.8,3.4
"4",4.4,2.6
"5",3.8,20
"6",2.4,2.2
"7",1.8,20
"8",3.2,0.8
"9",5,1.4
"10",2.8,1.2
"11",15,11.6
"12",4.4,1.2
"13",4.2,3
"14",2.4,5.6
"15",2.2,0.6
"16",3.2,1
"17",4.2,2.6
"18",4,1
"19",5.8,13.4
"20",2.8,0.8
"21",9.4,8.2
"22",11.8,20
"23",4.4,1.8
"24",4.2,20
"25",3.4,1
"26",6.4,2.4
"27",4.4,1.8
"28",4.2,1
"29",2.2,1
"30",2.8,1
"31",6.6,4
"32",5.6,4.6
"33",4.8,5.6
"34",4.6,2
"35",7.2,3.8
"36",10.8,6
"37",1.8,20
"38",4.6,1.2
"39",4,2
"40",5.6,1.6
"41",2.2,0.8
"42",2.8,1.2
"43",3.4,0.6
"44",5.6,9.8
"45",6.8,20
"46",8.6,20
"47",4.6,3
"48",6.4,1.8
"49",3.6,1.4
"50",3.2,3
"51",7.2,4
"52",3.8,2.4
"53",4.4,1.2
"54",3.6,1
"55",1.8,0.8
"56",6.8,2
"57",4.6,6.8
"58",2.4,3.2
"59",4,3.4
"60",3.2,0.8
"61",5.4,3.6
"62",5,1.6
"63",2.4,1
"64",2.8,1.6
"65",8.2,2
"66",6.2,4.2
"67",10.4,20
"68",1,20
"69",6.6,10
"70",10.8,13.2
"71",4.4,2.8
"72",4.4,1.2
"73",3.6,2
"74",8.8,9.8
"75",4,0.8
"76",2.8,2
"77",5.8,4.6
"78",6,4.8
"79",6.8,6.4
"80",2.2,0.8
"81",5,20
"82",8.6,14.4
"83",12.8,5.2
"84",3.4,0.8
"85",3,0.8
"86",3.8,5.6
"87",7,8
"88",8.8,13.2
"89",3,0.8
"90",8.2,5.2
"91",9.2,13
"92",4.6,5
"93",7.2,11.8
"94",2,0.6
"95",7.2,2.2
"96",9,3.6
"97",5.4,3.4
"98",7.2,3.6
"99",1,20
"100",7.6,6.2
