"","variance.1","variance.2"
"1",2.8,1
"2",3.4,1.4
"3",4,1
"4",4,2.4
"5",1.8,0.6
"6",6.4,3
"7",2,1.2
"8",15.2,20
"9",3.8,1.2
"10",4,3.4
"11",4,2.4
"12",1.8,1.4
"13",2.4,1.6
"14",3.4,1.6
"15",2.4,1.4
"16",2,0.8
"17",1.6,0.8
"18",2.2,0.8
"19",3.2,1
"20",4.8,2
"21",3.4,1
"22",3,1.4
"23",1.8,0.8
"24",2.4,0.8
"25",5.8,3.2
"26",2.6,1.4
"27",3.2,1.4
"28",2.4,1.6
"29",1.6,2
"30",3.6,15.6
"31",2.6,1.4
"32",5.4,5.6
"33",2.4,0.8
"34",2.8,1.6
"35",2.4,1
"36",4.4,1.8
"37",2.6,1
"38",3.4,4.4
"39",4.6,2.6
"40",3,20
"41",1.8,0.6
"42",2,0.8
"43",1.8,3.2
"44",4,1.8
"45",4.6,2.2
"46",3.8,1.6
"47",1.6,1
"48",2,0.8
"49",3.2,1.4
"50",1.6,1.6
"51",4,1.2
"52",11.4,15.2
"53",2,0.6
"54",5.4,20
"55",1.8,0.6
"56",6.4,18.4
"57",3.4,1.2
"58",1.6,1
"59",3.8,4.6
"60",2.6,0.8
"61",8.2,13.4
"62",2.4,14
"63",2,0.8
"64",1.8,3.8
"65",2.8,2
"66",2.2,0.6
"67",1.6,1.6
"68",2.4,4.8
"69",2.2,0.8
"70",3.4,5.2
"71",3.4,1.2
"72",2,0.6
"73",3.6,0.6
"74",3.2,1
"75",2.4,0.8
"76",2.6,1.2
"77",2.8,20
"78",4.2,2
"79",2.4,1
"80",2,1.4
"81",1.4,1.4
"82",2.2,1
"83",2,0.8
"84",3.2,0.6
"85",2.6,1.2
"86",4.2,2.6
"87",2.6,0.8
"88",2,3.2
"89",3.2,1.2
"90",3.8,2.2
"91",3.4,1.6
"92",7.8,6.2
"93",2.4,5
"94",4.4,1.6
"95",4.8,2.6
"96",2,1
"97",3.6,3
"98",2.4,0.6
"99",5,6
"100",4,2
