"","variance.1","variance.2"
"1",15.6,6.2
"2",2.4,1.8
"3",5.6,2
"4",4.6,6.2
"5",2,0.8
"6",4,3
"7",19.4,5.8
"8",3.2,1.4
"9",4.4,2.4
"10",6.8,8.8
"11",9.8,20
"12",5,3
"13",3.4,0.6
"14",12.8,7.2
"15",8.6,11.8
"16",2.2,1
"17",7.2,5.4
"18",2.8,1.4
"19",6.2,9.6
"20",2.4,1
"21",5.8,2.2
"22",3.2,20
"23",12,20
"24",20,9.4
"25",3.4,1.4
"26",3.8,1.2
"27",6,3
"28",2.4,6
"29",4.2,2.4
"30",2.6,2.4
"31",2.8,11
"32",4.2,3
"33",5.2,2.8
"34",3.4,2
"35",8.8,20
"36",3,1.4
"37",3.2,2.2
"38",7.8,6.6
"39",2.6,20
"40",2.2,0.6
"41",4.8,20
"42",6.4,20
"43",8,6.6
"44",3,0.8
"45",5.6,4.4
"46",2,0.8
"47",6.2,2.6
"48",2.6,0.8
"49",3.8,6.6
"50",4.8,3.2
"51",5.4,4.2
"52",4,7.2
"53",2.6,0.8
"54",4.6,1.2
"55",9.4,15.2
"56",4.4,5
"57",12.2,9
"58",2.8,20
"59",4.4,8.6
"60",6.2,4.6
"61",1.8,1.6
"62",2,1.4
"63",3.2,1
"64",2.2,20
"65",2.8,20
"66",4.8,0.8
"67",13.2,20
"68",2,2.2
"69",6.2,5.2
"70",9,7.6
"71",2.8,1.8
"72",16.6,20
"73",16.4,20
"74",14.8,6.4
"75",2,1.6
"76",2.4,1.6
"77",7.2,6.8
"78",5.4,1.8
"79",2.6,1
"80",3,5.2
"81",12.8,20
"82",4.6,8.8
"83",5.8,1.6
"84",2.4,1
"85",5,3.8
"86",3.2,1.2
"87",4.8,20
"88",2.2,20
"89",4.6,20
"90",2.4,0.6
"91",20,17.6
"92",4.4,2.6
"93",2.4,1
"94",5.6,4.6
"95",20,20
"96",6,6.6
"97",8.2,20
"98",3,4
"99",4.4,2.4
"100",6.4,3.4
