,Retail trade  [44-45],,Motor vehicle and parts dealers  [441],,Automobile dealers  [4411],,Other motor vehicle dealers  [4412],,"Automotive parts, accessories and tire stores  [4413]",,Furniture and home furnishings stores  [442],,Furniture stores  [4421],,Home furnishings stores  [4422],,Electronics and appliance stores  [443],,Building material and garden equipment and supplies dealers  [444],,Food and beverage stores  [445],,Grocery stores  [4451],,Specialty food stores  [4452],,"Beer, wine and liquor stores  [4453]",,Health and personal care stores  [446],,Gasoline stations  [447],,Clothing and clothing accessories stores  [448],,Clothing stores  [4481],,Shoe stores  [4482],,"Jewellery, luggage and leather goods stores  [4483]",,"Sporting goods, hobby, book and music stores  [451]",,General merchandise stores  [452],,Miscellaneous store retailers  [453],
Reference period,Unadjusted,Seasonally adjusted,Unadjusted,Seasonally adjusted,Unadjusted,Seasonally adjusted,Unadjusted,Seasonally adjusted,Unadjusted,Seasonally adjusted,Unadjusted,Seasonally adjusted,Unadjusted,Seasonally adjusted,Unadjusted,Seasonally adjusted,Unadjusted,Seasonally adjusted,Unadjusted,Seasonally adjusted,Unadjusted,Seasonally adjusted,Unadjusted,Seasonally adjusted,Unadjusted,Seasonally adjusted,Unadjusted,Seasonally adjusted,Unadjusted,Seasonally adjusted,Unadjusted,Seasonally adjusted,Unadjusted,Seasonally adjusted,Unadjusted,Seasonally adjusted,Unadjusted,Seasonally adjusted,Unadjusted,Seasonally adjusted,Unadjusted,Seasonally adjusted,Unadjusted,Seasonally adjusted,Unadjusted,Seasonally adjusted
7-Feb,"26,548,520","33,466,188","5,892,460","7,714,972","5,168,807","6,614,960","393,399","632,445","330,254","467,567","1,041,035","1,292,858","655,457","817,563","385,578","475,295","926,646","1,178,526","1,406,378","2,169,311","6,591,192","7,630,216","5,316,468","5,982,069","285,351","333,809","989,373","1,314,338","2,131,119","2,330,194","3,100,193","3,617,701","1,312,380","1,918,615","997,138","1,484,027","139,606","224,971","175,635","209,616","591,868","808,609","2,866,478","3,941,835","688,771","863,352"
7-Mar,"32,818,504","33,910,296","8,251,618","7,940,389","7,251,054","6,808,404","591,529","671,126","409,035","460,859","1,256,093","1,314,959","799,776","835,003","456,317","479,956","1,093,899","1,184,907","1,750,055","2,180,989","7,680,057","7,567,604","6,134,364","5,919,202","321,667","336,653","1,224,026","1,311,749","2,347,539","2,336,751","3,686,165","3,780,167","1,730,263","1,967,716","1,368,862","1,528,204","199,908","230,744","161,493","208,767","719,264","815,625","3,450,313","3,937,031","853,240","884,160"
7-Apr,"33,621,240","34,385,868","9,062,331","8,183,008","7,755,637","7,070,230","869,309","668,414","437,385","444,364","1,237,813","1,340,521","798,125","863,575","439,688","476,946","998,998","1,222,434","2,111,598","2,186,054","7,264,543","7,779,010","5,741,471","6,084,767","333,570","332,511","1,189,503","1,361,732","2,222,606","2,320,758","3,704,779","3,788,799","1,820,374","1,979,179","1,424,038","1,530,970","228,339","231,195","167,997","217,014","746,032","818,043","3,660,615","3,885,184","791,552","882,878"
7-May,"38,434,319","34,789,277","10,466,710","8,319,931","8,706,696","7,113,224","1,238,751","743,348","521,264","463,359","1,309,972","1,322,558","839,797","839,134","470,175","483,425","1,046,930","1,202,631","2,965,716","2,231,912","8,109,319","7,784,337","6,393,934","6,100,495","364,605","338,944","1,350,780","1,344,897","2,396,014","2,337,608","4,156,959","3,848,264","2,043,026","1,999,488","1,584,793","1,555,826","257,131","234,801","201,102","208,861","776,568","809,072","4,227,268","4,028,345","935,837","905,130"
7-Jun,"37,555,708","34,436,278","9,520,324","8,088,275","8,025,907","6,933,435","1,037,272","705,331","457,146","449,509","1,327,237","1,304,332","849,756","825,171","477,481","479,161","1,095,459","1,201,871","2,830,311","2,239,308","8,409,794","7,799,301","6,522,662","6,107,896","362,858","337,764","1,524,274","1,353,640","2,340,116","2,342,883","4,079,660","3,791,447","2,007,550","1,968,602","1,567,229","1,529,545","237,603","228,327","202,719","210,730","765,213","794,675","4,208,353","3,997,324","971,690","908,260"
7-Jul,"35,635,889","34,430,726","8,815,987","8,067,581","7,442,135","6,919,254","922,891","696,069","450,961","452,258","1,367,108","1,338,901","889,826","848,809","477,282","490,092","1,097,219","1,206,665","2,597,024","2,217,205","7,974,968","7,774,902","6,124,799","6,090,742","359,283","340,428","1,490,885","1,343,732","2,272,002","2,355,292","4,162,354","3,779,660","1,805,247","1,999,914","1,403,117","1,549,884","206,541","229,734","195,589","220,296","746,656","798,308","3,940,105","3,990,461","857,220","901,836"
7-Aug,"36,978,090","34,725,483","9,075,341","8,232,368","7,804,548","7,084,024","822,885","698,302","447,908","450,041","1,399,492","1,329,487","899,841","840,859","499,651","488,628","1,256,755","1,236,987","2,568,938","2,246,125","8,291,696","7,796,488","6,376,010","6,100,888","347,379","333,340","1,568,307","1,362,259","2,411,031","2,411,777","4,063,625","3,674,866","2,073,282","2,040,587","1,589,590","1,579,897","266,625","240,085","217,067","220,605","843,243","818,341","3,989,834","4,020,798","1,004,853","917,658"
7-Sep,"34,057,842","34,341,226","7,568,008","7,891,896","6,543,111","6,776,484","585,937","662,631","438,959","452,781","1,357,781","1,329,925","885,810","841,023","471,971","488,902","1,199,112","1,214,091","2,408,900","2,257,938","7,797,489","7,809,714","6,095,349","6,092,706","330,662","337,035","1,371,479","1,379,974","2,321,984","2,398,590","3,730,146","3,703,777","2,023,559","1,985,410","1,598,103","1,547,205","237,974","217,977","187,482","220,228","841,322","816,336","3,803,262","4,015,655","1,006,280","917,893"
7-Oct,"34,070,363","34,305,870","7,629,596","7,762,660","6,597,578","6,694,627","496,270","639,431","535,749","428,602","1,389,231","1,331,596","880,513","847,935","508,718","483,661","1,142,545","1,213,338","2,471,577","2,256,795","7,545,513","7,869,504","5,943,342","6,152,460","334,421","341,911","1,267,750","1,375,133","2,439,373","2,404,363","3,782,576","3,767,095","2,007,441","1,986,038","1,594,174","1,546,121","238,797","218,836","174,469","221,081","758,933","816,869","3,958,823","3,969,069","944,754","928,542"
7-Nov,"35,091,406","34,958,995","7,234,731","7,897,340","6,217,605","6,772,842","409,323","655,716","607,802","468,782","1,431,126","1,312,420","884,233","837,781","546,893","474,639","1,333,391","1,233,949","2,226,100","2,220,695","7,862,527","7,910,655","6,146,013","6,179,408","328,489","346,729","1,388,024","1,384,518","2,446,996","2,413,226","3,956,093","4,137,388","2,263,605","2,017,081","1,776,778","1,569,260","260,000","230,379","226,827","217,443","866,673","819,566","4,580,126","4,077,096","890,039","919,579"
7-Dec,"40,006,665","35,625,285","6,653,745","8,320,492","5,771,607","7,113,736","411,150","709,106","470,989","497,650","1,557,327","1,319,252","931,887","830,100","625,440","489,152","2,272,765","1,244,889","1,776,820","2,268,458","8,990,742","7,955,532","6,648,460","6,215,365","405,590","344,132","1,936,693","1,396,035","2,791,854","2,419,984","3,931,732","4,134,708","3,305,167","2,005,170","2,465,868","1,558,158","311,911","230,795","527,388","216,217","1,380,761","829,832","6,209,161","4,208,304","1,136,592","918,664"
8-Jan,"30,525,699","35,933,156","6,631,849","8,558,244","5,782,597","7,266,194","422,590","780,880","426,662","511,170","1,193,884","1,331,009","765,666","846,609","428,218","484,400","1,135,448","1,263,912","1,643,932","2,317,656","7,310,713","7,966,087","5,960,077","6,196,466","311,176","360,161","1,039,460","1,409,461","2,393,209","2,442,285","3,861,195","4,162,709","1,515,555","2,025,000","1,192,461","1,576,233","164,445","223,745","158,649","225,022","735,062","819,680","3,297,378","4,106,738","807,474","939,837"
8-Feb,"29,418,898","35,526,909","6,522,893","8,265,694","5,698,261","7,070,179","456,511","690,038","368,121","505,476","1,107,375","1,315,724","701,955","840,504","405,420","475,219","1,040,836","1,264,341","1,537,545","2,276,461","7,245,167","7,972,968","5,811,035","6,230,664","313,651","353,214","1,120,481","1,389,090","2,304,961","2,428,468","3,787,647","4,212,798","1,437,794","1,991,639","1,094,357","1,546,210","148,545","229,256","194,892","216,173","609,947","806,745","3,091,515","4,103,460","733,217","888,610"
8-Mar,"32,925,876","35,530,142","7,855,539","8,137,042","6,901,392","6,973,623","553,300","664,477","400,847","498,942","1,210,058","1,318,751","773,596","845,911","436,462","472,840","1,130,436","1,276,483","1,729,509","2,286,500","7,693,320","7,976,319","6,118,978","6,246,912","336,198","346,290","1,238,143","1,383,117","2,370,018","2,426,962","4,143,371","4,271,527","1,649,493","1,970,543","1,316,255","1,540,230","169,171","213,868","164,067","216,445","713,184","833,923","3,559,236","4,097,446","871,713","934,646"
8-Apr,"36,272,111","35,914,167","9,855,060","8,183,683","8,422,061","7,045,988","901,449","651,234","531,550","486,460","1,272,149","1,344,477","815,322","853,558","456,826","490,919","1,087,763","1,301,778","2,257,528","2,218,869","7,577,279","8,025,141","6,008,934","6,255,119","344,133","351,907","1,224,213","1,418,115","2,384,991","2,453,813","4,310,834","4,394,092","1,934,111","2,019,235","1,526,277","1,579,057","231,128","219,576","176,706","220,602","785,424","841,926","3,951,443","4,199,189","855,530","931,965"
8-May,"39,778,972","36,006,888","9,763,842","8,041,514","8,156,728","6,893,023","1,083,752","664,870","523,361","483,621","1,350,250","1,347,270","880,850","868,841","469,400","478,429","1,160,906","1,307,364","2,987,637","2,292,018","8,771,147","8,037,031","6,857,201","6,277,554","382,701","354,126","1,531,245","1,405,350","2,513,624","2,449,504","4,892,001","4,600,193","2,100,820","1,982,365","1,629,410","1,540,128","249,879","223,900","221,532","218,337","811,636","838,711","4,465,735","4,182,546","961,375","928,372"
8-Jun,"37,842,321","36,400,129","8,878,370","7,925,629","7,445,564","6,769,861","945,592","646,038","487,214","509,729","1,345,905","1,356,145","870,401","867,582","475,505","488,563","1,149,184","1,309,745","2,857,570","2,326,352","8,102,702","8,144,055","6,246,058","6,346,141","369,487","356,332","1,487,157","1,441,583","2,382,280","2,447,927","5,027,097","4,759,175","1,997,062","2,078,162","1,560,930","1,616,097","230,930","240,638","205,202","221,427","789,120","855,098","4,335,682","4,248,580","977,349","949,261"
8-Jul,"38,632,038","36,403,867","8,874,651","7,753,342","7,447,432","6,616,508","909,752","634,999","517,467","501,835","1,431,105","1,390,868","936,536","889,102","494,570","501,766","1,230,985","1,326,279","2,842,272","2,352,671","8,668,684","8,171,285","6,655,833","6,392,324","373,854","352,251","1,638,997","1,426,711","2,417,939","2,464,577","5,286,211","4,892,834","1,876,429","2,018,366","1,464,197","1,570,790","212,970","229,485","199,261","218,091","794,122","831,445","4,275,092","4,244,670","934,548","957,529"
8-Aug,"37,775,417","36,137,537","8,033,639","7,653,414","6,808,814","6,501,395","750,876","646,788","473,949","505,231","1,427,129","1,361,790","943,463","875,276","483,666","486,513","1,351,066","1,332,234","2,575,500","2,335,876","8,772,758","8,220,107","6,727,122","6,426,222","372,086","359,240","1,673,550","1,434,645","2,430,416","2,480,341","5,030,268","4,691,965","2,042,860","1,992,098","1,567,292","1,539,520","256,836","233,128","218,733","219,450","852,356","831,380","4,221,442","4,275,931","1,037,983","962,401"
8-Sep,"36,138,751","36,390,521","7,854,710","7,837,967","6,719,960","6,649,721","608,169","674,462","526,582","513,784","1,390,840","1,366,178","903,879","872,778","486,961","493,400","1,317,905","1,310,839","2,600,556","2,352,705","7,907,536","8,235,344","6,210,738","6,449,317","353,312","364,337","1,343,485","1,421,689","2,419,045","2,476,308","4,707,763","4,716,981","2,025,374","2,025,615","1,595,566","1,573,692","245,540","233,446","184,269","218,478","828,555","812,822","4,030,067","4,295,186","1,056,399","960,575"
8-Oct,"36,158,245","35,747,571","7,622,818","7,715,154","6,438,020","6,540,880","540,855","655,948","643,943","518,325","1,336,353","1,263,735","857,512","816,355","478,842","447,380","1,213,882","1,269,334","2,515,870","2,303,587","8,484,383","8,434,577","6,705,861","6,639,702","349,350","354,572","1,429,173","1,440,304","2,542,444","2,486,035","4,334,068","4,285,415","2,056,291","1,976,819","1,615,442","1,530,032","264,417","233,432","176,432","213,355","764,654","811,043","4,319,358","4,259,897","968,122","941,975"
8-Nov,"34,230,901","34,661,690","6,540,910","7,393,521","5,485,388","6,220,357","405,739","647,643","649,784","525,521","1,351,377","1,253,920","862,465","822,856","488,912","431,063","1,360,647","1,290,311","2,191,559","2,270,422","8,216,333","8,377,832","6,435,762","6,558,953","345,730","364,263","1,434,841","1,454,616","2,439,037","2,463,156","3,378,649","3,602,281","2,208,216","1,969,156","1,733,026","1,528,973","258,931","231,793","216,259","208,391","859,412","807,117","4,774,188","4,288,409","910,571","945,566"
8-Dec,"38,256,712","33,303,365","5,744,530","6,713,608","4,862,789","5,621,274","359,882","581,090","521,859","511,244","1,410,132","1,176,693","860,101","772,373","550,031","404,320","2,352,961","1,279,400","1,786,037","2,192,398","9,182,909","8,372,186","6,862,876","6,581,101","416,038","351,024","1,903,994","1,440,060","2,870,560","2,449,148","3,031,463","3,200,597","3,123,204","1,918,211","2,335,346","1,489,595","309,306","229,832","478,552","198,784","1,366,435","820,015","6,251,438","4,270,523","1,137,043","910,587"
9-Jan,"29,192,654","33,790,507","5,329,663","7,027,170","4,609,046","5,925,747","319,135","598,631","401,482","502,792","1,058,371","1,176,365","709,498","776,100","348,873","400,265","1,145,851","1,255,438","1,471,214","2,112,894","8,201,650","8,465,487","6,712,776","6,637,348","329,417","374,200","1,159,457","1,453,939","2,463,168","2,504,294","3,001,119","3,327,967","1,495,629","1,933,412","1,175,263","1,503,719","171,971","226,716","148,395","202,977","749,803","828,134","3,473,564","4,233,103","802,622","926,245"
9-Feb,"26,804,723","33,861,903","5,199,177","6,917,843","4,464,968","5,815,131","403,018","624,477","331,191","478,235","924,128","1,161,456","602,487","751,773","321,641","409,683","966,058","1,242,965","1,440,330","2,223,190","7,302,906","8,441,939","5,874,302","6,618,612","318,264","372,854","1,110,341","1,450,473","2,284,345","2,511,358","2,880,671","3,402,977","1,331,766","1,923,576","1,019,366","1,495,019","137,595","224,013","174,805","204,545","603,281","836,210","3,108,121","4,249,115","763,940","951,272"
9-Mar,"31,356,949","33,838,239","7,252,991","7,083,888","6,332,194","6,007,195","516,602","604,006","404,195","472,686","1,101,756","1,174,917","716,280","763,370","385,477","411,547","1,077,629","1,215,109","1,735,009","2,203,966","7,841,649","8,501,099","6,256,829","6,637,929","350,214","378,741","1,234,606","1,484,430","2,440,890","2,481,898","3,140,695","3,238,291","1,606,701","1,943,109","1,273,367","1,511,683","181,332","230,150","152,002","201,277","713,995","843,675","3,589,266","4,223,669","856,367","928,618"
9-Apr,"33,942,769","33,932,693","8,170,138","7,048,973","6,930,080","6,013,771","735,844","556,086","504,214","479,116","1,084,480","1,176,652","704,653","765,212","379,827","411,441","1,005,200","1,204,323","2,185,598","2,247,581","8,305,243","8,507,132","6,605,710","6,701,957","384,996","376,517","1,314,536","1,428,659","2,433,211","2,499,760","3,191,006","3,283,575","1,805,196","1,909,454","1,415,131","1,483,276","231,055","227,424","159,010","198,755","801,899","859,667","4,101,205","4,262,455","859,595","933,118"
9-May,"37,316,515","34,366,762","8,668,931","7,343,845","7,251,044","6,295,672","894,207","550,916","523,679","497,258","1,175,700","1,181,636","774,326","763,607","401,374","418,028","1,059,184","1,219,564","2,897,632","2,285,529","9,039,926","8,492,649","7,052,632","6,622,313","403,554","379,383","1,583,740","1,490,953","2,574,992","2,529,790","3,597,180","3,332,904","2,002,685","1,923,610","1,554,329","1,495,493","246,025","225,787","202,331","202,330","829,428","869,244","4,531,574","4,266,567","939,284","921,424"
9-Jun,"36,865,690","34,752,611","8,632,840","7,377,852","7,277,015","6,309,798","838,199","561,526","517,627","506,528","1,188,030","1,181,261","769,545","762,844","418,485","418,416","1,105,403","1,224,492","2,903,549","2,281,587","8,603,271","8,514,324","6,646,310","6,634,229","398,593","381,409","1,558,368","1,498,685","2,548,677","2,566,734","3,821,672","3,592,753","1,892,710","1,930,342","1,481,981","1,497,703","222,605","228,646","188,123","203,993","820,115","869,014","4,382,067","4,287,636","967,355","926,618"
9-Jul,"37,191,480","34,734,947","8,403,966","7,424,817","7,053,390","6,347,607","839,684","570,558","510,892","506,652","1,277,015","1,227,913","855,433","808,414","421,582","419,499","1,155,263","1,233,889","2,787,962","2,307,221","9,156,531","8,462,077","6,977,926","6,605,363","407,970","387,310","1,770,634","1,469,404","2,590,194","2,603,470","3,892,185","3,439,459","1,818,466","1,936,499","1,415,498","1,504,205","216,699","229,710","186,269","202,584","836,967","876,125","4,354,906","4,288,668","918,026","934,809"
9-Aug,"36,049,418","34,958,551","7,858,317","7,547,209","6,754,473","6,481,231","627,423","551,848","476,421","514,131","1,279,920","1,232,559","864,383","816,311","415,536","416,248","1,210,362","1,219,992","2,540,765","2,307,473","8,663,403","8,406,519","6,638,863","6,544,636","394,549","385,798","1,629,990","1,476,085","2,523,252","2,591,107","3,915,334","3,584,102","1,947,557","1,947,063","1,503,198","1,511,633","246,980","228,981","197,379","206,449","877,868","871,823","4,205,125","4,294,196","1,027,516","956,508"
9-Sep,"35,537,357","35,271,163","7,779,512","7,615,098","6,712,147","6,532,183","539,407","572,439","527,958","510,476","1,278,049","1,238,614","849,833","809,146","428,215","429,469","1,222,126","1,216,120","2,596,653","2,328,055","8,324,005","8,510,678","6,521,755","6,649,960","370,186","379,444","1,432,064","1,481,275","2,551,234","2,595,943","3,723,130","3,666,551","1,958,255","1,934,277","1,533,548","1,496,540","254,535","234,152","170,172","203,585","900,156","864,830","4,136,521","4,338,258","1,067,715","962,738"
9-Oct,"36,133,694","35,442,041","7,635,546","7,774,415","6,550,352","6,713,812","436,582","543,149","648,612","517,454","1,310,201","1,241,866","860,537","819,103","449,664","422,762","1,140,733","1,201,208","2,544,482","2,338,903","8,770,532","8,455,349","6,910,144","6,619,192","371,180","373,501","1,489,209","1,462,656","2,651,962","2,592,838","3,700,792","3,643,890","2,078,681","1,969,755","1,637,131","1,530,851","279,222","242,143","162,327","196,760","816,246","857,722","4,500,320","4,415,444","984,199","950,651"
9-Nov,"34,354,756","35,094,920","6,760,934","7,532,897","5,765,907","6,459,816","357,713","566,272","637,313","506,809","1,322,193","1,243,166","842,496","820,369","479,698","422,797","1,284,477","1,212,287","2,313,995","2,360,198","7,964,940","8,448,170","6,244,705","6,618,869","355,563","377,990","1,364,672","1,451,310","2,566,582","2,585,882","3,591,847","3,772,405","2,055,159","1,892,277","1,629,758","1,490,316","233,157","214,290","192,244","187,671","851,556","805,569","4,699,568","4,270,111","943,505","971,958"
9-Dec,"40,969,765","35,671,435","6,778,259","7,776,267","5,849,008","6,647,661","351,697","559,605","577,554","569,002","1,469,013","1,232,453","930,242","823,466","538,771","408,987","2,357,573","1,284,473","1,937,248","2,357,840","9,491,704","8,460,337","7,066,053","6,617,599","453,563","370,901","1,972,088","1,471,837","2,986,298","2,551,734","3,652,554","3,823,311","3,207,351","1,956,779","2,397,836","1,515,968","330,180","239,344","479,335","201,467","1,417,854","837,153","6,484,974","4,437,987","1,186,936","953,101"
10-Jan,"30,668,321","36,091,102","5,605,404","7,570,960","4,919,013","6,491,677","297,394","570,036","388,998","509,247","1,137,733","1,275,291","755,115","826,202","382,618","449,090","1,101,206","1,233,903","1,751,053","2,561,173","8,108,579","8,552,874","6,598,950","6,664,409","327,538","378,820","1,182,091","1,509,644","2,555,815","2,639,170","3,639,699","3,975,450","1,525,994","2,013,876","1,192,225","1,559,593","182,030","240,162","151,740","214,121","772,623","858,213","3,657,270","4,462,166","812,942","948,026"
10-Feb,"28,632,551","36,048,207","5,887,718","7,832,154","5,156,686","6,723,096","369,093","580,764","361,939","528,294","982,291","1,237,219","657,106","817,701","325,185","419,518","944,092","1,228,940","1,519,774","2,319,723","7,422,793","8,577,314","5,908,171","6,654,755","336,188","393,908","1,178,434","1,528,651","2,410,661","2,664,587","3,406,697","3,933,515","1,415,698","2,030,453","1,089,265","1,580,654","147,796","239,011","178,637","210,788","611,748","850,920","3,277,060","4,439,562","754,017","933,818"
10-Mar,"34,967,182","36,872,345","8,588,620","8,064,713","7,501,822","6,822,093","590,707","682,342","496,092","560,278","1,178,215","1,258,253","768,250","817,398","409,965","440,854","1,106,199","1,233,580","2,035,412","2,499,396","8,084,441","8,592,361","6,402,121","6,682,776","394,021","410,863","1,288,298","1,498,722","2,690,003","2,696,615","3,915,397","3,998,577","1,825,917","2,193,537","1,442,400","1,703,621","220,133","272,443","163,383","217,473","765,266","906,752","3,906,718","4,494,309","870,995","934,253"
10-Apr,"36,469,949","36,394,220","8,894,327","7,809,333","7,603,569","6,711,261","719,660","566,204","571,098","531,869","1,162,832","1,242,031","743,700","797,841","419,131","444,190","1,060,684","1,251,489","2,390,528","2,422,012","8,569,351","8,698,346","6,756,787","6,768,755","403,570","406,207","1,408,994","1,523,383","2,635,866","2,684,491","3,881,808","3,976,688","1,922,788","2,028,923","1,497,643","1,565,888","250,413","246,420","174,732","216,615","776,496","849,323","4,320,372","4,507,901","854,898","923,684"
10-May,"38,424,455","36,050,622","8,928,056","7,712,847","7,521,143","6,645,504","898,369","576,229","508,544","491,114","1,239,978","1,259,528","801,693","801,125","438,285","458,403","1,064,068","1,250,647","2,906,407","2,300,600","8,911,228","8,660,283","6,962,878","6,752,245","422,006","405,175","1,526,343","1,502,862","2,723,637","2,701,318","4,140,854","3,910,303","2,093,196","2,049,840","1,621,789","1,589,874","255,793","238,870","215,614","221,097","788,431","844,529","4,705,795","4,453,405","922,805","907,323"
10-Jun,"38,973,462","36,308,653","9,465,127","7,860,418","8,030,943","6,745,751","907,547","599,509","526,636","515,158","1,326,660","1,311,298","831,590","812,720","495,069","498,578","1,194,256","1,324,233","2,957,157","2,289,586","8,889,430","8,714,829","6,903,417","6,818,510","422,007","403,890","1,564,005","1,492,428","2,657,466","2,670,991","4,164,327","3,923,094","2,005,849","2,032,158","1,570,417","1,576,655","234,615","235,673","200,817","219,830","819,499","854,870","4,538,065","4,416,985","955,626","910,192"
10-Jul,"38,932,294","36,357,428","8,794,527","8,006,269","7,453,556","6,910,607","836,371","585,491","504,600","510,171","1,259,735","1,203,487","848,455","792,157","411,279","411,331","1,211,784","1,296,052","2,684,243","2,214,588","9,716,709","8,747,816","7,393,084","6,809,435","422,988","401,624","1,900,637","1,536,757","2,640,534","2,666,144","4,364,011","3,942,405","1,957,721","2,052,421","1,532,105","1,599,051","226,963","235,670","198,653","217,700","829,983","868,289","4,591,498","4,469,199","881,550","890,758"
10-Aug,"37,395,330","36,453,361","8,501,476","8,018,716","7,333,252","6,911,157","663,520","577,882","504,703","529,677","1,265,908","1,215,022","837,339","790,795","428,570","424,227","1,294,178","1,305,153","2,517,671","2,218,664","8,740,323","8,753,978","6,733,892","6,826,670","414,671","409,826","1,591,760","1,517,482","2,608,303","2,671,380","4,322,204","3,983,911","2,018,851","2,069,600","1,570,324","1,615,300","252,280","242,107","196,248","212,194","846,743","855,879","4,324,557","4,463,349","955,116","897,710"
10-Sep,"36,923,390","36,569,715","8,133,941","8,022,445","7,061,286","6,914,443","531,290","569,307","541,365","538,694","1,278,563","1,240,971","842,560","801,833","436,003","439,138","1,306,151","1,309,455","2,426,951","2,176,275","8,681,446","8,766,934","6,782,115","6,834,638","402,743","414,460","1,496,588","1,517,835","2,609,933","2,676,461","4,061,399","3,990,394","2,130,333","2,093,623","1,678,111","1,636,944","275,860","245,576","176,362","211,103","916,861","872,503","4,391,647","4,538,412","986,163","882,243"
10-Oct,"37,014,326","36,837,126","7,790,331","8,055,116","6,667,333","6,925,251","471,532","590,452","651,466","539,413","1,329,682","1,270,684","848,340","811,521","481,342","459,163","1,243,005","1,329,496","2,342,211","2,186,927","8,855,903","8,711,004","6,909,421","6,758,841","405,636","411,336","1,540,845","1,540,827","2,710,541","2,689,501","4,293,686","4,241,167","2,130,707","2,060,117","1,680,719","1,604,287","271,511","236,570","178,477","219,261","832,086","880,117","4,569,809","4,515,355","916,364","897,642"
10-Nov,"37,408,825","37,538,580","7,913,604","8,374,386","6,783,016","7,267,316","335,588","518,315","795,000","588,755","1,356,083","1,255,516","829,293","802,587","526,790","452,929","1,407,615","1,275,338","2,282,470","2,242,750","8,371,473","8,820,192","6,531,576","6,863,020","388,223","406,006","1,451,674","1,551,166","2,745,392","2,711,754","4,225,002","4,425,571","2,306,557","2,103,270","1,818,588","1,640,788","262,610","243,508","225,359","218,974","941,606","874,782","4,979,054","4,563,611","879,970","891,410"
10-Dec,"43,147,947","37,436,674","7,036,465","8,212,240","6,124,452","7,087,915","366,094","570,634","545,919","553,692","1,517,731","1,266,111","922,045","813,608","595,685","452,503","2,428,579","1,323,533","1,795,637","2,177,819","9,886,433","8,642,178","7,242,820","6,691,177","518,182","415,659","2,125,430","1,535,342","3,179,125","2,694,865","4,483,091","4,597,100","3,513,752","2,119,546","2,628,937","1,649,870","339,583","243,577","545,233","226,099","1,495,924","881,091","6,663,940","4,601,533","1,147,271","920,658"
11-Jan,"31,191,594","37,311,614","5,834,671","8,041,570","5,137,678","6,932,093","282,673","552,424","414,320","557,053","1,095,674","1,242,525","705,381","784,641","390,293","457,885","1,153,184","1,317,316","1,507,220","2,239,586","7,949,928","8,696,616","6,456,585","6,745,755","345,817","411,361","1,147,526","1,539,500","2,594,868","2,717,394","4,249,175","4,616,758","1,530,391","2,083,413","1,194,907","1,614,043","181,823","243,956","153,662","225,414","766,081","867,225","3,740,527","4,585,350","769,876","903,861"
11-Feb,"29,797,949","37,417,919","6,056,112","8,080,213","5,327,798","6,962,266","352,820","564,304","375,494","553,643","997,320","1,258,369","650,544","808,932","346,776","449,437","1,010,712","1,319,262","1,470,045","2,245,953","7,535,609","8,723,462","6,004,145","6,773,363","343,917","404,524","1,187,548","1,545,575","2,446,426","2,718,137","4,076,420","4,604,308","1,472,588","2,116,066","1,127,162","1,641,596","152,419","245,889","193,007","228,581","627,400","881,901","3,371,613","4,561,494","733,703","908,752"
11-Mar,"36,099,866","37,624,315","8,750,446","8,102,031","7,795,102","7,011,380","458,544","531,496","496,801","559,154","1,149,663","1,213,184","722,771","760,186","426,892","452,998","1,209,727","1,336,809","1,817,301","2,216,772","8,341,203","8,752,602","6,640,925","6,812,319","380,367","404,455","1,319,910","1,535,828","2,752,808","2,751,638","4,748,866","4,819,060","1,758,314","2,078,766","1,389,613","1,615,270","197,118","235,972","171,583","227,524","739,546","877,784","4,003,547","4,583,747","828,446","891,923"
11-Apr,"38,035,760","37,883,034","9,285,676","8,275,244","7,950,143","7,117,356","711,934","577,814","623,599","580,074","1,198,877","1,284,143","761,941","809,843","436,936","474,301","1,136,149","1,324,777","2,090,964","2,147,024","8,823,587","8,748,434","6,929,639","6,798,629","416,499","406,823","1,477,450","1,542,982","2,700,037","2,748,777","4,705,450","4,843,091","2,024,444","2,140,997","1,588,876","1,661,567","243,986","241,548","191,582","237,883","785,338","871,690","4,459,807","4,606,676","825,430","892,181"
11-May,"40,046,516","37,736,236","9,652,319","8,197,903","8,134,456","7,049,921","900,582","572,119","617,280","575,862","1,231,402","1,246,476","785,331","786,249","446,071","460,226","1,163,123","1,354,668","2,845,987","2,224,658","8,572,551","8,583,495","6,664,871","6,644,602","415,371","404,318","1,492,309","1,534,576","2,780,856","2,739,507","5,119,091","4,870,858","2,138,625","2,133,441","1,654,166","1,651,024","261,575","250,285","222,883","232,132","793,849","865,249","4,838,551","4,621,313","910,161","898,668"
11-Jun,"40,839,556","38,120,856","9,999,241","8,437,021","8,525,994","7,261,431","891,280","588,244","581,967","587,346","1,267,721","1,258,427","799,650","786,059","468,070","472,369","1,176,593","1,302,749","2,893,798","2,277,939","8,970,235","8,698,966","6,889,719","6,734,145","437,262","421,226","1,643,254","1,543,594","2,741,472","2,757,780","5,064,922","4,780,320","2,119,359","2,155,866","1,653,481","1,670,720","252,658","252,459","213,219","232,687","841,029","881,106","4,830,311","4,683,295","934,875","887,388"
