,Retail trade  [44-45],,Motor vehicle and parts dealers  [441],,Automobile dealers  [4411],,Other motor vehicle dealers  [4412],,"Automotive parts, accessories and tire stores  [4413]",,Furniture and home furnishings stores  [442],,Furniture stores  [4421],,Home furnishings stores  [4422],,Electronics and appliance stores  [443],,Building material and garden equipment and supplies dealers  [444],,Food and beverage stores  [445],,Grocery stores  [4451],,Specialty food stores  [4452],,"Beer, wine and liquor stores  [4453]",,Health and personal care stores  [446],,Gasoline stations  [447],,Clothing and clothing accessories stores  [448],,Clothing stores  [4481],,Shoe stores  [4482],,"Jewellery, luggage and leather goods stores  [4483]",,"Sporting goods, hobby, book and music stores  [451]",,General merchandise stores  [452],,Miscellaneous store retailers  [453],
Reference period,Unadjusted,Seasonally adjusted,Unadjusted,Seasonally adjusted,Unadjusted,Seasonally adjusted,Unadjusted,Seasonally adjusted,Unadjusted,Seasonally adjusted,Unadjusted,Seasonally adjusted,Unadjusted,Seasonally adjusted,Unadjusted,Seasonally adjusted,Unadjusted,Seasonally adjusted,Unadjusted,Seasonally adjusted,Unadjusted,Seasonally adjusted,Unadjusted,Seasonally adjusted,Unadjusted,Seasonally adjusted,Unadjusted,Seasonally adjusted,Unadjusted,Seasonally adjusted,Unadjusted,Seasonally adjusted,Unadjusted,Seasonally adjusted,Unadjusted,Seasonally adjusted,Unadjusted,Seasonally adjusted,Unadjusted,Seasonally adjusted,Unadjusted,Seasonally adjusted,Unadjusted,Seasonally adjusted,Unadjusted,Seasonally adjusted
4-Nov,"29,232,659","29,901,036","6,533,321","7,133,979","5,733,447","6,206,045","339,420","566,340","460,454","361,594","1,201,850","1,107,846","760,603","733,588","441,247","374,257","1,039,635","993,620","1,792,968","1,803,608","6,713,505","7,186,855","5,367,287","5,726,130","263,861","286,849","1,082,357","1,173,876","1,948,369","1,940,697","2,760,156","2,993,885","1,827,698","1,696,620","1,448,012","1,326,848","202,301","188,670","177,384","181,102","743,326","721,673","3,937,907","3,546,136","733,923","776,116"
4-Dec,"34,561,103","29,593,609","5,940,935","6,967,413","5,235,975","6,056,088","341,564","547,544","363,396","363,781","1,345,865","1,092,306","832,525","733,112","513,340","359,195","1,872,248","998,077","1,506,701","1,818,555","8,209,803","7,060,894","6,219,238","5,629,559","371,556","315,074","1,619,010","1,116,260","2,305,830","1,937,037","2,773,923","2,933,697","2,920,649","1,730,819","2,171,263","1,342,320","278,821","200,985","470,566","187,514","1,241,839","738,741","5,448,684","3,533,886","994,627","782,185"
5-Jan,"24,498,615","29,888,781","5,133,701","7,084,741","4,580,427","6,186,590","265,032","520,855","288,242","377,295","937,412","1,079,144","629,335","708,537","308,077","370,608","865,736","989,700","1,202,435","1,796,061","6,569,570","7,243,140","5,506,063","5,838,269","232,452","275,367","831,055","1,129,505","1,856,942","1,940,862","2,634,531","3,015,813","1,260,790","1,718,831","997,001","1,342,284","145,253","204,417","118,536","172,130","634,840","717,143","2,774,537","3,543,481","628,122","759,865"
5-Feb,"24,028,226","30,460,620","5,799,361","7,545,051","5,202,299","6,638,575","338,891","540,695","258,171","365,781","880,253","1,109,461","582,726","728,099","297,527","381,362","790,719","1,003,689","1,190,131","1,841,024","6,127,543","7,157,091","5,002,593","5,686,450","244,034","288,578","880,916","1,182,063","1,779,853","1,944,153","2,560,185","3,065,435","1,189,324","1,743,743","909,507","1,354,740","130,720","210,178","149,097","178,824","528,083","720,566","2,558,370","3,549,180","624,405","781,227"
5-Mar,"28,600,602","30,006,264","7,476,914","7,123,439","6,672,741","6,224,123","480,648","535,773","323,525","363,543","1,008,190","1,101,945","663,512","728,603","344,678","373,342","914,263","1,006,399","1,459,664","1,829,779","6,937,744","7,155,029","5,607,022","5,667,364","283,510","291,054","1,047,212","1,196,611","1,951,367","1,949,669","2,945,095","3,046,691","1,450,763","1,730,544","1,147,968","1,341,680","169,459","208,282","133,336","180,582","620,771","717,965","3,086,078","3,564,561","749,753","780,243"
5-Apr,"30,600,811","29,940,271","8,388,396","7,093,365","7,176,381","6,156,341","809,825","555,743","402,190","381,281","1,075,063","1,118,903","722,230","738,566","352,833","380,337","866,108","1,021,134","1,903,419","1,870,612","7,000,678","7,069,848","5,636,677","5,618,325","289,965","293,344","1,074,036","1,158,180","1,916,973","1,958,142","2,944,469","3,012,691","1,714,417","1,734,429","1,336,248","1,340,871","233,903","213,398","144,266","180,159","675,984","716,523","3,402,833","3,573,072","712,471","771,553"
5-May,"31,948,565","29,935,878","8,551,384","7,189,826","7,248,797","6,258,882","904,817","557,140","397,769","373,804","1,078,071","1,109,302","717,365","728,250","360,706","381,052","866,757","1,014,463","2,439,524","1,893,842","7,191,073","7,207,837","5,722,047","5,712,801","314,697","298,598","1,154,329","1,196,438","1,946,478","1,945,443","3,086,723","2,790,582","1,721,895","1,738,270","1,327,839","1,343,485","221,611","210,147","172,445","184,637","672,407","722,693","3,606,173","3,542,989","788,082","780,630"
5-Jun,"32,967,426","30,590,992","8,911,241","7,509,649","7,712,201","6,587,657","804,932","532,569","394,108","389,423","1,116,798","1,116,546","745,525","739,230","371,273","377,316","911,584","1,032,466","2,386,704","1,877,330","7,396,856","7,191,921","5,820,126","5,689,259","318,660","299,530","1,258,070","1,203,131","1,930,708","1,940,915","3,237,172","2,979,963","1,743,358","1,778,662","1,358,679","1,382,439","217,832","215,104","166,847","181,120","688,902","730,357","3,798,638","3,644,240","845,463","788,943"
5-Jul,"32,620,077","30,800,241","8,320,025","7,663,815","7,228,054","6,744,507","702,917","523,863","389,054","395,445","1,154,632","1,115,873","789,544","738,858","365,088","377,014","929,311","1,015,697","2,162,050","1,866,856","7,948,283","7,245,136","6,142,947","5,726,310","327,970","302,703","1,477,366","1,216,122","1,890,011","1,954,574","3,419,818","3,031,841","1,649,850","1,751,769","1,280,633","1,357,881","200,704","209,724","168,513","184,164","717,921","745,968","3,670,858","3,623,475","757,318","785,238"
5-Aug,"32,025,283","30,647,393","7,994,167","7,218,154","6,996,063","6,298,712","600,949","525,299","397,155","394,143","1,181,754","1,137,524","782,944","749,036","398,810","388,489","1,010,340","1,025,596","2,131,652","1,873,035","7,290,510","7,248,009","5,686,687","5,730,520","311,208","302,034","1,292,614","1,215,455","1,945,118","1,967,218","3,643,721","3,291,447","1,721,079","1,753,031","1,325,287","1,357,263","225,103","212,643","170,689","183,125","749,643","741,088","3,511,149","3,609,128","846,149","783,163"
5-Sep,"30,914,826","30,600,008","6,873,586","6,861,095","5,977,268","5,928,676","469,927","521,526","426,390","410,892","1,176,973","1,139,730","792,009","753,105","384,964","386,625","1,042,671","1,028,574","2,118,400","1,906,915","7,311,665","7,253,675","5,815,107","5,752,632","295,407","300,754","1,201,151","1,200,289","1,980,408","1,994,527","3,630,544","3,524,687","1,778,874","1,753,257","1,395,086","1,358,880","225,849","208,095","157,939","186,283","752,220","736,919","3,375,428","3,611,427","874,057","789,203"
5-Oct,"30,241,532","30,887,481","6,455,597","7,053,835","5,606,856","6,116,894","400,988","545,779","447,753","391,162","1,215,967","1,166,780","805,803","769,242","410,164","397,537","979,153","1,054,255","2,025,834","1,922,686","7,076,693","7,231,665","5,619,744","5,714,291","298,982","303,899","1,157,967","1,213,476","2,000,915","2,010,250","3,477,826","3,439,721","1,798,777","1,778,438","1,426,095","1,380,529","226,404","210,681","146,278","187,228","686,915","742,534","3,723,571","3,689,389","800,284","797,929"
5-Nov,"30,828,069","31,012,789","6,843,331","7,282,775","5,994,190","6,351,756","330,656","531,322","518,485","399,697","1,266,560","1,162,420","785,725","749,385","480,835","413,035","1,102,813","1,048,769","1,962,942","1,953,177","6,899,929","7,247,314","5,483,354","5,733,262","275,621","296,099","1,140,953","1,217,953","2,039,986","2,018,457","3,101,433","3,302,690","1,939,482","1,770,227","1,519,151","1,370,610","237,918","215,092","182,413","184,524","784,941","749,284","4,121,291","3,678,737","765,361","798,939"
5-Dec,"36,726,743","31,230,056","6,155,770","7,277,725","5,420,017","6,322,582","324,913","543,929","410,839","411,214","1,470,881","1,204,925","896,733","782,538","574,148","422,387","2,025,429","1,064,143","1,616,441","1,967,881","8,816,420","7,316,295","6,603,122","5,776,006","363,441","303,987","1,849,857","1,236,302","2,429,124","2,043,672","3,146,078","3,326,038","3,079,812","1,797,222","2,304,074","1,396,904","290,754","207,749","484,985","192,569","1,277,274","748,863","5,677,788","3,677,035","1,031,726","806,258"
6-Jan,"25,993,203","31,747,679","5,620,066","7,554,349","4,982,663","6,545,421","304,091","592,117","333,312","416,811","1,064,210","1,212,056","698,371","784,318","365,838","427,738","959,913","1,088,744","1,376,930","2,005,641","6,365,784","7,268,132","5,252,407","5,745,953","254,651","301,993","858,726","1,220,185","1,968,049","2,043,726","3,033,602","3,381,496","1,291,647","1,795,971","1,015,372","1,393,303","145,281","209,542","130,993","193,126","700,047","800,896","2,936,934","3,778,702","676,022","817,967"
6-Feb,"25,128,165","31,744,450","5,747,381","7,482,154","5,082,039","6,473,568","362,032","579,816","303,309","428,770","978,472","1,223,149","641,937","801,789","336,536","421,360","873,979","1,107,499","1,312,405","2,022,148","6,322,816","7,347,284","5,142,072","5,808,264","252,983","297,873","927,760","1,241,146","1,905,736","2,081,078","2,796,508","3,308,675","1,236,928","1,815,505","939,837","1,402,423","133,251","215,561","163,840","197,521","549,121","749,664","2,737,918","3,772,975","666,901","834,318"
