"","c1","c2","Error"
"1",1,1,6775872.7833126
"2",1,2,6668429.43484185
"3",1,3,6530141.34650817
"4",1,4,6456136.75353335
"5",1,5,6441501.27845488
"6",1,6,6395640.34972183
"7",1,7,6400091.40142543
"8",1,8,6087527.66699669
"9",1,9,6011450.77328005
"10",1,10,5936581.10950061
"11",2,1,7254232.02543037
"12",2,2,7252056.75358671
"13",2,3,6924891.49222191
"14",2,4,6608535.71894887
"15",2,5,6569629.15325711
"16",2,6,6519432.85213192
"17",2,7,6524351.176167
"18",2,8,6401229.81655315
"19",2,9,6354888.26153192
"20",2,10,6286429.31976274
"21",3,1,7872707.08427603
"22",3,2,7872707.08427603
"23",3,3,7867539.79641365
"24",3,4,7111753.15854617
"25",3,5,6977724.46105866
"26",3,6,6545256.52044491
"27",3,7,6528627.65028529
"28",3,8,6395575.48705668
"29",3,9,6317548.12675416
"30",3,10,6254673.60365528
"31",4,1,8870293.95827152
"32",4,2,8870293.95827152
"33",4,3,8870293.95827152
"34",4,4,8857816.07034958
"35",4,5,8367739.75916526
"36",4,6,7499930.26915368
"37",4,7,6677648.67051647
"38",4,8,6412870.78708246
"39",4,9,6287511.09709481
"40",4,10,6230172.38423491
"41",5,1,9915445.81192264
"42",5,2,9915445.81192264
"43",5,3,9915445.81192264
"44",5,4,9903771.84864988
"45",5,5,9893835.92824402
"46",5,6,9283443.56822129
"47",5,7,7489179.03586631
"48",5,8,6739204.67042214
"49",5,9,6464161.43303178
"50",5,10,6269031.9596756
"51",6,1,10392024.8539219
"52",6,2,10392024.8539219
"53",6,3,10392024.8539219
"54",6,4,10392024.8539219
"55",6,5,10364229.3205512
"56",6,6,10363978.9245746
"57",6,7,9250771.77566767
"58",6,8,7369642.10094333
"59",6,9,7231666.22490211
"60",6,10,6581552.8955365
"61",7,1,10392024.8539219
"62",7,2,10392024.8539219
"63",7,3,10392024.8539219
"64",7,4,10392024.8539219
"65",7,5,10392024.8539219
"66",7,6,10364767.022343
"67",7,7,10284055.4398119
"68",7,8,9116776.41158763
"69",7,9,7325971.59168595
"70",7,10,7148421.65334457
"71",8,1,10392024.8539219
"72",8,2,10392024.8539219
"73",8,3,10392024.8539219
"74",8,4,10392024.8539219
"75",8,5,10392024.8539219
"76",8,6,10365725.4326088
"77",8,7,10284539.4634411
"78",8,8,9376860.03538604
"79",8,9,8984327.49578471
"80",8,10,7316990.89897429
"81",9,1,10392024.8539219
"82",9,2,10392024.8539219
"83",9,3,10392024.8539219
"84",9,4,10392024.8539219
"85",9,5,10392024.8539219
"86",9,6,10391515.5080796
"87",9,7,10285801.9478461
"88",9,8,10086052.1340005
"89",9,9,9245360.06296782
"90",9,10,8955339.64097796
"91",10,1,10392024.8539219
"92",10,2,10392024.8539219
"93",10,3,10392024.8539219
"94",10,4,10392024.8539219
"95",10,5,10392024.8539219
"96",10,6,10391515.5080796
"97",10,7,10310486.1274774
"98",10,8,10086052.1340005
"99",10,9,9951590.12505689
"100",10,10,9120201.74885275
