"","c1","c2","Error"
"1",1,1,18164246752921.4
"2",1,2,18164246752921.4
"3",1,3,18164246752921.4
"4",1,4,18164246752921.4
"5",1,5,18162450595884.4
"6",1,6,18160468003758.4
"7",1,7,18156052953896.5
"8",1,8,18153455919731
"9",1,9,18150591155315.4
"10",1,10,18150518466146.1
"11",2,1,18164246752921.4
"12",2,2,18164246752921.4
"13",2,3,18164246752921.4
"14",2,4,18164246752921.4
"15",2,5,18162450595884.4
"16",2,6,18160468003758.4
"17",2,7,18156052953896.5
"18",2,8,18153455919731
"19",2,9,18150591155315.4
"20",2,10,18150518466146.1
"21",3,1,18164246750855.9
"22",3,2,18164246750855.9
"23",3,3,18164246750855.9
"24",3,4,18164246750855.9
"25",3,5,18162450593818.9
"26",3,6,18160468001692.9
"27",3,7,18156052951831
"28",3,8,18153455917665.5
"29",3,9,18150591151133.1
"30",3,10,18150518461850.8
"31",4,1,18164246770442.8
"32",4,2,18164246770442.8
"33",4,3,18164246770442.8
"34",4,4,18164246770442.8
"35",4,5,18162450613405.8
"36",4,6,18160468021279.7
"37",4,7,18156052971417.8
"38",4,8,18153455937252.3
"39",4,9,18150591193537
"40",4,10,18150518499059.8
"41",5,1,18165293108627
"42",5,2,18165293108627
"43",5,3,18165293108627
"44",5,4,18165293108627
"45",5,5,18165189893867.7
"46",5,6,18160468064852.2
"47",5,7,18156053014990.3
"48",5,8,18153455980824.8
"49",5,9,18150591237109.5
"50",5,10,18150518539883.6
"51",6,1,18167670973295.5
"52",6,2,18167670973295.5
"53",6,3,18167670973295.5
"54",6,4,18167670973295.5
"55",6,5,18167601939570.5
"56",6,6,18162730971886.7
"57",6,7,18159433741762.8
"58",6,8,18153456020483
"59",6,9,18150591276767.7
"60",6,10,18150518608636.5
"61",7,1,18169022376507.8
"62",7,2,18169022376507.8
"63",7,3,18169022376507.8
"64",7,4,18169022376507.8
"65",7,5,18169022376507.8
"66",7,6,18168825443993.9
"67",7,7,18161959305329.6
"68",7,8,18158291304324.3
"69",7,9,18155674748528
"70",7,10,18151567559550.3
"71",8,1,18172115564900.3
"72",8,2,18172115564900.3
"73",8,3,18172115564900.3
"74",8,4,18172115564900.3
"75",8,5,18172115564900.3
"76",8,6,18171996398955.4
"77",8,7,18168780009180.5
"78",8,8,18163429415142.8
"79",8,9,18157117887997.3
"80",8,10,18154183012997.3
"81",9,1,18172115718549.1
"82",9,2,18172115718549.1
"83",9,3,18172115718549.1
"84",9,4,18172115718549.1
"85",9,5,18172115718549.1
"86",9,6,18172115718549.1
"87",9,7,18170444116223.3
"88",9,8,18165166997391.1
"89",9,9,18162833814340.2
"90",9,10,18158571407622.3
"91",10,1,18173894535173.9
"92",10,2,18173894535173.9
"93",10,3,18173894535173.9
"94",10,4,18173894535173.9
"95",10,5,18173894535173.9
"96",10,6,18173894535173.9
"97",10,7,18173835959828.6
"98",10,8,18168892153689.6
"99",10,9,18166872129958
"100",10,10,18160419149160.1
