"","c1","c2","Error"
"1",1,1,5575474.69107283
"2",1,2,4825481.60082638
"3",1,3,4541939.43949762
"4",1,4,4428047.13248512
"5",1,5,4353303.56981394
"6",1,6,4341811.98657849
"7",1,7,4215417.58434932
"8",1,8,4220568.08271816
"9",1,9,4255907.49803247
"10",1,10,4161336.13594945
"11",2,1,7107402.87003365
"12",2,2,5360468.13963729
"13",2,3,4999902.94283758
"14",2,4,4766347.02613119
"15",2,5,4701321.55802859
"16",2,6,4363655.46785326
"17",2,7,4238983.34834929
"18",2,8,4238951.4128468
"19",2,9,4239046.49055812
"20",2,10,4128259.2565435
"21",3,1,7596792.58983441
"22",3,2,6584878.16876727
"23",3,3,6050719.3819958
"24",3,4,4895987.14738993
"25",3,5,4826245.97742762
"26",3,6,4661470.85998755
"27",3,7,4503806.90636238
"28",3,8,4442748.55018897
"29",3,9,4439443.4752897
"30",3,10,4439443.4752897
"31",4,1,8311783.95104081
"32",4,2,7165929.84046364
"33",4,3,6283960.28491006
"34",4,4,5988241.7327151
"35",4,5,5760142.59332908
"36",4,6,4775847.72663589
"37",4,7,4588133.54057365
"38",4,8,4544102.54953355
"39",4,9,4473133.7714653
"40",4,10,4472683.19861263
"41",5,1,8360559.75030464
"42",5,2,7967658.07144027
"43",5,3,6856755.74328021
"44",5,4,6193825.92056245
"45",5,5,5867252.26814027
"46",5,6,5688124.48930438
"47",5,7,5581161.56413632
"48",5,8,4696468.08158287
"49",5,9,4611677.3246265
"50",5,10,4500596.33689246
"51",6,1,8886122.81069999
"52",6,2,8023869.81510646
"53",6,3,7174796.62676871
"54",6,4,6517309.16770876
"55",6,5,6034468.31314574
"56",6,6,5839606.30226521
"57",6,7,5643680.58675739
"58",6,8,5528755.11240457
"59",6,9,5466557.40031369
"60",6,10,5416871.59760852
"61",7,1,10238299.5449785
"62",7,2,9501205.3812287
"63",7,3,7652263.55331812
"64",7,4,6986285.00404237
"65",7,5,6489224.07699391
"66",7,6,5931760.2736811
"67",7,7,5797096.76607166
"68",7,8,5625645.37959355
"69",7,9,5587820.71244857
"70",7,10,5558636.58725112
"71",8,1,10392024.8539219
"72",8,2,10007321.0607899
"73",8,3,7701269.156174
"74",8,4,7427388.4388969
"75",8,5,6638654.05255783
"76",8,6,6318663.21820086
"77",8,7,5935250.55472771
"78",8,8,5681958.07325765
"79",8,9,5587820.71244857
"80",8,10,5558636.58725112
"81",9,1,10392024.8539219
"82",9,2,10165661.8619931
"83",9,3,7701269.156174
"84",9,4,7432421.74684227
"85",9,5,6952453.7600606
"86",9,6,6465771.32289558
"87",9,7,6202851.24608153
"88",9,8,5933068.03185231
"89",9,9,5739167.02317561
"90",9,10,5667905.77053163
"91",10,1,10392024.8539219
"92",10,2,10165661.8619931
"93",10,3,9681473.9062507
"94",10,4,7479853.1247397
"95",10,5,7250154.42416797
"96",10,6,6779791.46067645
"97",10,7,6500586.87043006
"98",10,8,6098589.56534851
"99",10,9,6065649.01094212
"100",10,10,5831024.59474721
