"","variance.1","variance.2","variance.3","logposterior","","","","","",""
"unemp_LP_gamma",10,10,4,-476013.685937939,8,32,4,1.25,0.15625,0.25
"unemp_LP_gamma",10,10,4,-476024.140760495,8,32,8,1.25,0.15625,0.125
"unemp_LP_gamma",10,10,4,-476045.050405606,8,32,16,1.25,0.15625,0.0625
"unemp_LP_gamma",10,10,4,-476086.869695828,8,32,32,1.25,0.15625,0.03125
"unemp_LP_gamma",10,10,4,-476007.115398707,16,2,2,0.625,2.5,0.5
"unemp_LP_gamma",10,10,4,-476012.342809985,16,2,4,0.625,2.5,0.25
"unemp_LP_gamma",10,10,4,-476022.79763254,16,2,8,0.625,2.5,0.125
"unemp_LP_gamma",10,10,4,-476043.707277652,16,2,16,0.625,2.5,0.0625
"unemp_LP_gamma",10,10,4,-476085.526567874,16,2,32,0.625,2.5,0.03125
"unemp_LP_gamma",10,10,4,-476006.510228521,16,4,2,0.625,1.25,0.5
"unemp_LP_gamma",10,10,4,-476011.737639799,16,4,4,0.625,1.25,0.25
"unemp_LP_gamma",10,10,4,-476022.192462354,16,4,8,0.625,1.25,0.125
"unemp_LP_gamma",10,10,4,-476043.102107466,16,4,16,0.625,1.25,0.0625
"unemp_LP_gamma",10,10,4,-476084.921397688,16,4,32,0.625,1.25,0.03125
"unemp_LP_gamma",10,10,4,-476005.299888149,16,8,2,0.625,0.625,0.5
"unemp_LP_gamma",10,10,4,-476010.527299427,16,8,4,0.625,0.625,0.25
"unemp_LP_gamma",10,10,4,-476020.982121982,16,8,8,0.625,0.625,0.125
"unemp_LP_gamma",10,10,4,-476041.891767094,16,8,16,0.625,0.625,0.0625
"unemp_LP_gamma",10,10,4,-476083.711057316,16,8,32,0.625,0.625,0.03125
"unemp_LP_gamma",10,10,4,-476002.879207405,16,16,2,0.625,0.3125,0.5
"unemp_LP_gamma",10,10,4,-476008.106618683,16,16,4,0.625,0.3125,0.25
"unemp_LP_gamma",10,10,4,-476018.561441239,16,16,8,0.625,0.3125,0.125
"unemp_LP_gamma",10,10,4,-476039.47108635,16,16,16,0.625,0.3125,0.0625
"unemp_LP_gamma",10,10,4,-476081.290376572,16,16,32,0.625,0.3125,0.03125
"unemp_LP_gamma",10,10,4,-475998.037845917,16,32,2,0.625,0.15625,0.5
"unemp_LP_gamma",10,10,4,-476003.265257195,16,32,4,0.625,0.15625,0.25
"unemp_LP_gamma",10,10,4,-476013.720079751,16,32,8,0.625,0.15625,0.125
"unemp_LP_gamma",10,10,4,-476034.629724862,16,32,16,0.625,0.15625,0.0625
"unemp_LP_gamma",10,10,4,-476076.449015084,16,32,32,0.625,0.15625,0.03125
"unemp_LP_gamma",10,10,4,-475986.274037219,32,2,2,0.3125,2.5,0.5
"unemp_LP_gamma",10,10,4,-475991.501448497,32,2,4,0.3125,2.5,0.25
"unemp_LP_gamma",10,10,4,-476001.956271053,32,2,8,0.3125,2.5,0.125
"unemp_LP_gamma",10,10,4,-476022.865916164,32,2,16,0.3125,2.5,0.0625
"unemp_LP_gamma",10,10,4,-476064.685206386,32,2,32,0.3125,2.5,0.03125
"unemp_LP_gamma",10,10,4,-475985.668867033,32,4,2,0.3125,1.25,0.5
"unemp_LP_gamma",10,10,4,-475990.896278311,32,4,4,0.3125,1.25,0.25
"unemp_LP_gamma",10,10,4,-476001.351100867,32,4,8,0.3125,1.25,0.125
"unemp_LP_gamma",10,10,4,-476022.260745978,32,4,16,0.3125,1.25,0.0625
"unemp_LP_gamma",10,10,4,-476064.0800362,32,4,32,0.3125,1.25,0.03125
"unemp_LP_gamma",10,10,4,-475984.458526661,32,8,2,0.3125,0.625,0.5
"unemp_LP_gamma",10,10,4,-475989.685937939,32,8,4,0.3125,0.625,0.25
"unemp_LP_gamma",10,10,4,-476000.140760495,32,8,8,0.3125,0.625,0.125
"unemp_LP_gamma",10,10,4,-476021.050405606,32,8,16,0.3125,0.625,0.0625
"unemp_LP_gamma",10,10,4,-476062.869695828,32,8,32,0.3125,0.625,0.03125
"unemp_LP_gamma",10,10,4,-475982.037845917,32,16,2,0.3125,0.3125,0.5
"unemp_LP_gamma",10,10,4,-475987.265257195,32,16,4,0.3125,0.3125,0.25
"unemp_LP_gamma",10,10,4,-475997.720079751,32,16,8,0.3125,0.3125,0.125
"unemp_LP_gamma",10,10,4,-476018.629724862,32,16,16,0.3125,0.3125,0.0625
"unemp_LP_gamma",10,10,4,-476060.449015084,32,16,32,0.3125,0.3125,0.03125
"unemp_LP_gamma",10,10,4,-475977.196484429,32,32,2,0.3125,0.15625,0.5
"unemp_LP_gamma",10,10,4,-475982.423895707,32,32,4,0.3125,0.15625,0.25
"unemp_LP_gamma",10,10,4,-475992.878718263,32,32,8,0.3125,0.15625,0.125
"unemp_LP_gamma",10,10,4,-476013.788363374,32,32,16,0.3125,0.15625,0.0625
"unemp_LP_gamma",10,10,4,-476055.607653596,32,32,32,0.3125,0.15625,0.03125
