"","variance.1","variance.2"
"1",1.8,1
"2",2,1.8
"3",2.8,1
"4",2.6,1
"5",2.2,1.4
"6",3.8,1.2
"7",2.6,0.6
"8",2.8,0.8
"9",4.8,3.2
"10",5.8,2.8
"11",5.4,2.4
"12",2.4,1
"13",3.6,1.2
"14",3.6,1
"15",3.6,3.4
"16",4,1.2
"17",3,1
"18",4,1.2
"19",3.2,1.4
"20",7.4,16.6
"21",2,0.6
"22",2,1.4
"23",2.8,1
"24",3,0.8
"25",3.4,1.6
"26",2.4,0.6
"27",3.6,1
"28",6.4,5.6
"29",2.8,0.8
"30",2.4,1
"31",3,0.8
"32",1.8,1
"33",3.6,1
"34",2.6,1
"35",3.2,1.2
"36",2,0.8
"37",1.8,0.8
"38",3,1
"39",2.4,0.8
"40",2.6,1
"41",2,0.6
"42",2.4,0.8
"43",1.6,1.2
"44",4,2.2
"45",5.2,4.6
"46",2.4,1
"47",3.6,2
"48",3.6,1.4
"49",2.4,1.8
"50",3.8,1.8
"51",4.8,1.6
"52",2.6,1
"53",2,1.2
"54",6,3.2
"55",2,1.4
"56",3,1.4
"57",1.8,0.8
"58",2.4,0.6
"59",2.4,0.6
"60",4.8,1.8
"61",2.2,0.8
"62",2.6,1.2
"63",3,1.2
"64",4.6,3.6
"65",4.8,1.4
"66",2.2,0.4
"67",4.4,1.8
"68",4.2,2.2
"69",2.2,1
"70",5.6,2.8
"71",2.4,0.6
"72",2.6,1.2
"73",2.6,0.6
"74",7.8,4.6
"75",3,0.8
"76",2.4,1
"77",2.8,0.8
"78",8.4,2.4
"79",1.8,1.2
"80",3.4,1.4
"81",3,4
"82",3,1.8
"83",3.4,1
"84",4.4,4.8
"85",3.6,1.2
"86",5,2.2
"87",4.4,1.4
"88",4.6,3.2
"89",11.6,3.8
"90",2,0.6
"91",2.4,0.6
"92",3.6,1.2
"93",2.6,0.8
"94",5.6,4.4
"95",2.6,1
"96",2.6,0.8
"97",2.8,3
"98",3.4,2.2
"99",1.8,0.8
"100",2.4,0.6
