"","variance.1","variance.2"
"1",7,5.2
"2",5.2,2.4
"3",2.6,2
"4",4.8,1.4
"5",7.4,9.2
"6",2.8,0.6
"7",4.4,3
"8",5,2.4
"9",9.2,6.4
"10",6.4,2.4
"11",9.4,7
"12",5.2,6.4
"13",3,1
"14",4.6,1
"15",10,7.6
"16",13.4,9.6
"17",3,1.4
"18",5.6,7.8
"19",4.6,7.2
"20",7.8,2.4
"21",8.8,2.2
"22",3.4,3.8
"23",2.2,0.6
"24",5,1.2
"25",2.8,1.4
"26",4.8,2
"27",5,2.4
"28",3.2,2
"29",5.8,4
"30",9.2,4.2
"31",9.4,2.8
"32",4,2
"33",5.2,2.4
"34",5.6,6.4
"35",3.8,1.4
"36",3.6,1.6
"37",13.6,6
"38",3.6,1
"39",17.4,17.2
"40",4.6,3.6
"41",5.2,3
"42",4.6,2.2
"43",3.8,1.4
"44",4,1.4
"45",5.8,1.4
"46",3,0.8
"47",6,4.2
"48",4.4,1
"49",5.6,2.8
"50",20,15.4
"51",6.2,2.4
"52",4.2,1
"53",3.4,1
"54",2.8,0.4
"55",5,5.6
"56",4.2,2
"57",7.2,8
"58",5.6,2.6
"59",7.6,4.6
"60",11.6,8.2
"61",3.8,2.8
"62",4.8,1
"63",4.4,1.8
"64",5.8,5.2
"65",8.8,4.2
"66",9.6,9.2
"67",7.4,3
"68",5.8,1
"69",6.4,11.8
"70",11.2,5.4
"71",7.4,1.8
"72",4,1.4
"73",4.4,1.2
"74",2.2,0.6
"75",2.8,1
"76",5.6,1.8
"77",4,2.2
"78",4.6,3.2
"79",5.6,1.4
"80",5,4
"81",9,7.8
"82",11.8,8.8
"83",8.6,3.6
"84",5,1.6
"85",11.4,2.6
"86",5,2
"87",18,20
"88",6.8,4.6
"89",4.2,1.4
"90",7.6,3.2
"91",6.4,3
"92",6,3.8
"93",4.8,3.8
"94",6.8,5.6
"95",5.4,1.8
"96",20,20
"97",6.2,3
"98",2.6,0.8
"99",2.6,1
"100",8.8,6.2
