"","variance.1","variance.2"
"1",2.6,1
"2",3.8,0.8
"3",7.4,2.2
"4",6.6,2.6
"5",5,2.4
"6",3.2,2
"7",4.6,1.8
"8",4.2,2.2
"9",4,1.2
"10",6.6,11.2
"11",5,5.2
"12",5.2,1.2
"13",5.2,4
"14",4.6,2.2
"15",4.6,2.6
"16",3.2,0.8
"17",13.6,10
"18",5.4,1.6
"19",5.2,4.4
"20",4.2,2.8
"21",8.4,6.8
"22",13.4,9.6
"23",3.8,1.8
"24",6,1.6
"25",4.4,1
"26",4.4,1.4
"27",4,1.4
"28",4,0.8
"29",4.2,2.4
"30",4.6,1.4
"31",5,2.6
"32",5,7.4
"33",9.2,9.2
"34",4.4,3
"35",9.4,10.2
"36",5.2,1.8
"37",3.8,1.2
"38",7.8,6.2
"39",8.4,2.8
"40",6,3.6
"41",4,1.4
"42",6,6
"43",3.6,1
"44",4.8,3.4
"45",4.6,2
"46",5.2,3
"47",4.4,1.4
"48",4.6,1.4
"49",3.6,0.8
"50",6,8
"51",5,1.2
"52",5.2,3.6
"53",12.6,8
"54",4.8,4.6
"55",11.6,10.6
"56",6.2,2.2
"57",2.4,1
"58",4.6,1.6
"59",4.2,2.4
"60",3.4,1.2
"61",5.6,7.2
"62",8.2,4
"63",4.8,4.2
"64",6.8,7.4
"65",11.8,7.2
"66",4.6,2.2
"67",6.2,1.8
"68",11.2,9.2
"69",7.6,2.4
"70",9.4,8.4
"71",3.2,1.4
"72",4.6,1.2
"73",7.2,3.2
"74",4.8,2.6
"75",7.6,1.8
"76",4.8,1.2
"77",4,1.6
"78",10.6,17.2
"79",7,2.2
"80",4,1.4
"81",2.8,2.2
"82",13.8,18.6
"83",2.8,1
"84",5.4,2.2
"85",8.2,8
"86",15.4,2.4
"87",7.8,4.4
"88",8.6,4.6
"89",6.2,2
"90",3.6,1
"91",5,2.8
"92",14.8,8.4
"93",4.2,5.6
"94",3.8,1.2
"95",4.2,1.8
"96",5.8,2.4
"97",7.4,3.4
"98",8.4,4
"99",10.6,8.6
"100",4.4,2
