"","variance.1","variance.2"
"1",3.4,1
"2",2.6,0.8
"3",2.2,0.8
"4",2.6,1.6
"5",3.6,1.2
"6",6,3.4
"7",2.4,0.6
"8",2.2,0.6
"9",2.2,1.6
"10",2.4,1.4
"11",5.8,1.8
"12",3,1
"13",2.6,1
"14",4.4,2.2
"15",3.4,1.6
"16",1.8,0.6
"17",3.2,2.6
"18",2.2,0.6
"19",8,3.4
"20",6,2.6
"21",18.6,16.8
"22",4,1
"23",2.4,1.2
"24",2,0.6
"25",3.6,1.2
"26",3.6,1.2
"27",2.6,1
"28",2,0.8
"29",2.4,1.2
"30",2.4,0.6
"31",11,5.4
"32",2.8,0.8
"33",3,2
"34",2.2,0.6
"35",2.2,1
"36",5.8,2.4
"37",2,0.4
"38",5.6,3
"39",3.4,1.8
"40",2.4,0.8
"41",2.2,0.6
"42",2.6,0.6
"43",2.4,0.8
"44",3,1.6
"45",6.4,1.6
"46",4.2,2
"47",4,1.4
"48",1.8,1.2
"49",3.2,0.8
"50",2.8,1
"51",4,1.4
"52",2,0.6
"53",2.2,1.6
"54",5,2
"55",2.4,0.6
"56",2.8,1
"57",3,1.4
"58",2.2,0.6
"59",5.4,3.4
"60",4,1.6
"61",4.4,1
"62",2.2,0.8
"63",2.8,1.8
"64",3,1
"65",3.2,0.8
"66",3.8,1
"67",2.2,1
"68",3.8,1.2
"69",2.2,0.4
"70",3.4,1.4
"71",5.4,1.6
"72",3.4,1
"73",2.6,0.8
"74",2.6,0.6
"75",3.8,1
"76",3.2,1
"77",3,1.6
"78",4.6,1.4
"79",4.8,1.6
"80",2.6,1.2
"81",2.6,1
"82",4.2,5.2
"83",2.8,1
"84",2.6,0.8
"85",2.4,0.8
"86",2.4,0.8
"87",4,1.4
"88",4,1.8
"89",2.4,0.8
"90",3.2,1
"91",5,2.2
"92",2.8,2
"93",2,1
"94",2.6,0.8
"95",2.4,0.6
"96",3.2,1.2
"97",2.4,0.8
"98",2.6,0.8
"99",2.8,1
"100",3.4,1.4
