"","variance.1","variance.2"
"1",2.6,1.2
"2",3.4,1
"3",2.2,0.8
"4",2,0.6
"5",4.8,1.4
"6",1.8,1
"7",2.4,0.8
"8",2,0.6
"9",2.4,0.6
"10",1.8,0.6
"11",2.8,2
"12",2,0.6
"13",2.6,0.8
"14",2.2,0.4
"15",2,0.6
"16",2.6,1.2
"17",2.8,1
"18",2.2,0.6
"19",3,1.4
"20",2.2,1.2
"21",3.4,1.8
"22",2,0.8
"23",2.2,0.8
"24",2.6,0.6
"25",3.2,1.4
"26",2.2,0.6
"27",4,1.2
"28",3.4,1
"29",4.8,1.8
"30",3,1.2
"31",3.4,2
"32",2.2,1.8
"33",3.6,2.6
"34",1.8,1.6
"35",3,0.8
"36",2,0.8
"37",2.2,0.8
"38",2.8,1.6
"39",2,1.2
"40",2.4,0.8
"41",2,1
"42",3,1.6
"43",5.4,1.6
"44",6,2.6
"45",3.8,1.8
"46",2.2,0.4
"47",2.6,0.6
"48",7,3.2
"49",2.2,0.6
"50",2.6,2.2
"51",2.4,0.8
"52",2.2,0.6
"53",4.2,1.2
"54",3,0.8
"55",2.6,0.8
"56",4.4,1.4
"57",2.2,0.6
"58",2.2,0.8
"59",2,0.6
"60",2,1
"61",3,2.4
"62",2,0.8
"63",2,0.8
"64",2,0.4
"65",3.6,2.4
"66",3,0.8
"67",2.6,0.6
"68",3.2,1.6
"69",2.8,0.8
"70",1.8,0.8
"71",3,0.8
"72",1.6,1.2
"73",2.4,0.8
"74",2.2,1
"75",2.6,0.6
"76",2.6,1.2
"77",2.4,1.2
"78",2,0.6
"79",2.2,0.8
"80",2.2,0.8
"81",3.6,1.8
"82",5.6,2.2
"83",1.8,0.6
"84",2.6,0.8
"85",2.4,0.6
"86",2.6,1.4
"87",3.6,3.4
"88",3,1
"89",2,1.4
"90",3.2,1.6
"91",3.4,1
"92",3.2,2.4
"93",4,2
"94",2.4,1
"95",2.4,0.8
"96",1.8,0.6
"97",2,0.8
"98",4.2,1.4
"99",2,1
"100",2.8,1.2
