"","variance.1","variance.2"
"1",4.6,3.2
"2",3,1
"3",2.4,0.6
"4",2.2,1.2
"5",2.8,1.4
"6",2.6,0.6
"7",2.8,1.6
"8",2.8,1
"9",2.2,1.8
"10",3.4,0.8
"11",2,0.6
"12",1.8,1.2
"13",2,0.6
"14",3.6,1
"15",3.2,1.4
"16",3.2,1
"17",2.2,0.6
"18",2.6,0.6
"19",2,0.8
"20",2.6,1.4
"21",3.8,1.4
"22",2.8,1
"23",2.4,0.8
"24",2,1
"25",2.2,0.6
"26",2.8,0.8
"27",3.4,1.6
"28",2.8,1.4
"29",3,1
"30",3.4,1.2
"31",1.8,0.8
"32",4.2,1.2
"33",3.4,1.6
"34",2.4,0.8
"35",2.2,0.8
"36",2.2,0.8
"37",2.2,0.8
"38",2.8,1.4
"39",4.2,1.6
"40",4.2,2.6
"41",2.6,1
"42",2.8,1.2
"43",2.8,1
"44",2.4,1
"45",2.4,0.6
"46",2,0.8
"47",3.2,1
"48",2.6,1
"49",2,0.8
"50",2.2,0.6
"51",3.2,1.4
"52",3.4,1
"53",3.2,1.4
"54",2.2,0.6
"55",2.8,1.2
"56",2.8,1.6
"57",4.2,1
"58",2.6,1.4
"59",2.6,0.8
"60",5.4,3
"61",4.6,0.8
"62",4.2,3.2
"63",3.2,2.8
"64",2,1
"65",2.6,0.6
"66",3.2,0.8
"67",2.8,1
"68",2.6,1
"69",3.8,1.4
"70",2.4,0.8
"71",4,2.6
"72",2,1
"73",3,1.2
"74",3.2,1
"75",2.4,0.8
"76",2.8,0.8
"77",3.8,1.2
"78",2.2,0.8
"79",4.2,1.4
"80",2,0.4
"81",2,0.4
"82",2.4,1.2
"83",4.6,1.8
"84",2.8,0.6
"85",3.4,1
"86",4.8,1.6
"87",2.6,0.6
"88",2.2,0.8
"89",2.6,0.8
"90",3.2,1.4
"91",2.8,0.8
"92",3.2,1.4
"93",3.4,1.2
"94",3,1.4
"95",2.8,2.4
"96",2.2,1
"97",5.2,5.8
"98",2.6,1
"99",2.2,0.6
"100",3,1
