"","variance.1","variance.2"
"1",9,20
"2",6.2,5
"3",3.4,2
"4",5.6,3
"5",2.8,0.6
"6",9.8,5.2
"7",3.4,2
"8",3.8,2
"9",3,1.2
"10",2.8,2.2
"11",5.8,2.6
"12",2.4,0.6
"13",4,2.2
"14",5,1
"15",10.4,9.4
"16",5.6,9
"17",7,3.2
"18",6.6,2.2
"19",13.6,16.6
"20",7.4,4.2
"21",7.6,2.4
"22",3,1
"23",4.8,2
"24",4.8,2.2
"25",7.6,4.2
"26",2.8,0.6
"27",20,17.6
"28",4.8,5.2
"29",6.8,6
"30",4,1.8
"31",16.4,6
"32",5.4,2.8
"33",2.8,0.8
"34",3.8,1.4
"35",9.2,8
"36",4,1
"37",3.4,1.6
"38",3,1
"39",5,2.4
"40",2.8,0.8
"41",5.8,2.8
"42",6,2.2
"43",4.6,2.6
"44",4,1.4
"45",3.8,1.8
"46",4.8,4.4
"47",10.2,12
"48",8,5.6
"49",10.6,7.6
"50",3.8,2
"51",6.8,1.8
"52",10,13.8
"53",2.4,1.2
"54",6.2,5.4
"55",3.8,0.8
"56",5,5.8
"57",16.2,11.4
"58",8.2,4.4
"59",5.2,1.4
"60",6.6,3.6
"61",9.2,6
"62",4.8,1.2
"63",5.8,1.6
"64",4.2,1.2
"65",10.2,7.6
"66",13.6,4.6
"67",7.8,5.2
"68",10.4,4.6
"69",8.4,5.8
"70",7,2.4
"71",2.8,1
"72",3.2,1
"73",7.6,1.8
"74",4.8,5.6
"75",4,1.6
"76",8.4,3.4
"77",3.2,0.8
"78",5.8,1.8
"79",2.8,1.4
"80",7,4.8
"81",6.2,2.6
"82",10.8,2
"83",3.6,1.6
"84",6.4,3.4
"85",5.8,7.2
"86",4.2,4.6
"87",5,2.2
"88",3.2,1
"89",8.8,14.6
"90",4,2.2
"91",5.4,1.6
"92",3.2,1
"93",7.6,4.8
"94",2.4,3.6
"95",4.6,2.4
"96",4,0.8
"97",3.2,4.4
"98",6.4,3.2
"99",6.4,11.2
"100",5.6,4
