"","variance.1","variance.2"
"1",4.8,2.8
"2",2.4,1
"3",3.2,1.2
"4",2.2,0.8
"5",3.2,1.2
"6",4,3
"7",3,2.2
"8",4,2.8
"9",4,1.6
"10",3.8,1
"11",2.2,0.6
"12",2,0.8
"13",6.2,2.4
"14",3.4,5.8
"15",4.8,5.2
"16",2.6,1.2
"17",3,1.4
"18",2.6,0.6
"19",3.8,1.4
"20",3.6,1
"21",2.4,0.8
"22",4.4,1
"23",3,0.8
"24",3.4,1.2
"25",3,0.8
"26",5.6,1.6
"27",3,1.4
"28",2,0.6
"29",2.6,1.2
"30",2.2,1
"31",2,0.6
"32",2.6,0.6
"33",9,1.6
"34",6.6,4
"35",3.4,1.4
"36",4.2,1.6
"37",2.6,1.2
"38",2.2,0.8
"39",2.6,1.4
"40",2.4,0.6
"41",3.8,1.4
"42",2.2,0.6
"43",4.2,1
"44",2.8,0.8
"45",6.4,3.8
"46",3.8,1.8
"47",5.6,2.2
"48",2.8,1
"49",2.8,0.8
"50",2.6,1
"51",1.8,0.6
"52",2.2,0.6
"53",2.8,1.4
"54",3.2,1.4
"55",2.2,1.8
"56",2.4,1
"57",3.4,1.4
"58",6,2
"59",3.4,2
"60",2.6,1.2
"61",2.2,0.6
"62",2.8,0.8
"63",1.8,1.2
"64",5.4,3
"65",4,1.6
"66",2.6,1.2
"67",1.8,0.8
"68",2.2,0.6
"69",2.6,1
"70",8.6,2
"71",3.2,1
"72",2,0.6
"73",2,0.8
"74",4.2,3.6
"75",5.2,3.2
"76",2.2,1
"77",1.8,1.2
"78",2.2,0.6
"79",5,2
"80",3,0.6
"81",7.2,2
"82",3.8,1.4
"83",3.8,1.6
"84",2,0.6
"85",3,2.6
"86",3.6,1.6
"87",5,5.8
"88",2.4,0.6
"89",3,1.6
"90",2.8,0.8
"91",5.4,1.6
"92",2.2,0.8
"93",2.6,1
"94",4.6,2
"95",4.4,1.6
"96",3,1.2
"97",4.4,1.8
"98",5.6,2
"99",4.6,2.6
"100",4.6,1.6
