"","variance.1","variance.2"
"1",5.4,1.8
"2",4.6,4.6
"3",10,3.8
"4",15.8,6.2
"5",7.4,1.4
"6",3.8,1.8
"7",6.2,2.6
"8",3.4,2.4
"9",5.4,1.4
"10",9.4,7.6
"11",4.6,2.6
"12",7.4,5.6
"13",5.6,4.2
"14",13.2,4
"15",9,7.8
"16",5.8,1.8
"17",6.6,3.2
"18",2.4,1.8
"19",5.6,2.8
"20",6.2,3.8
"21",2.8,1.2
"22",15.4,18
"23",4.2,2
"24",17.4,17
"25",9.6,7.8
"26",4.8,4.8
"27",15.6,8.4
"28",6.2,3
"29",10.2,7.4
"30",3.4,3.4
"31",4.8,6.4
"32",8.4,6.6
"33",5.2,1
"34",11.6,7
"35",7.4,1.2
"36",6,6.2
"37",3.8,7.8
"38",6.2,3.6
"39",4,1
"40",2,0.8
"41",2.6,1.4
"42",5.4,2
"43",7.4,8.2
"44",3.4,2.2
"45",5.6,1.4
"46",2.8,1.8
"47",2,1.4
"48",11.4,12.8
"49",4.2,3
"50",9.6,12.6
"51",3,1
"52",7.4,3.4
"53",7,5.2
"54",6.2,2.4
"55",4.2,2.2
"56",5.2,1.6
"57",9.8,2.2
"58",8.6,9.2
"59",6.2,5.4
"60",6,2
"61",4.2,3.8
"62",13.4,8
"63",4.2,6.2
"64",11.2,7.4
"65",17.4,4.6
"66",6.4,1.6
"67",3.8,4.4
"68",5.4,2
"69",2.2,0.8
"70",3,1.2
"71",7,2.8
"72",5.6,1.2
"73",13.4,7.2
"74",6.6,2
"75",3.6,2.8
"76",11.6,7.6
"77",7.4,4
"78",5,4
"79",5.6,6
"80",5.2,1.6
"81",3.8,2
"82",7,2.8
"83",3.2,1
"84",6.4,5.8
"85",4,2.8
"86",6.8,11.4
"87",3.2,1
"88",2.2,1
"89",3.8,2.4
"90",3.8,1.2
"91",7,4.2
"92",2.4,0.6
"93",3.4,1
"94",13.2,12.2
"95",5.4,2.4
"96",6,2.4
"97",7.6,5
"98",5.2,3.8
"99",7.8,3.8
"100",6.2,2.6
