"","variance.1","variance.2"
"1",3.2,1.6
"2",3.4,1.8
"3",5,2.8
"4",12.6,7
"5",3,1.4
"6",8.8,4.8
"7",8.8,20
"8",5,3.4
"9",5.6,3.8
"10",7.4,2.8
"11",2.8,2.8
"12",5,2.4
"13",4.6,1.2
"14",4.2,2
"15",3.2,3
"16",7.2,2.6
"17",2.8,1.8
"18",13.6,20
"19",3.2,1.4
"20",3.4,1.4
"21",5.2,1.6
"22",2.8,1.2
"23",5.6,3.2
"24",4.2,2.4
"25",7.8,4.2
"26",2.8,0.6
"27",9.6,6.2
"28",3.2,2.4
"29",11.6,2.8
"30",7.6,4.8
"31",2.8,0.8
"32",3.6,1
"33",6.4,4.8
"34",13.2,7.4
"35",11,6.6
"36",5.8,4.8
"37",12.6,13.6
"38",4.2,1.6
"39",4.4,4.6
"40",20,11.8
"41",9,6
"42",5.8,3
"43",5.2,1.4
"44",3.2,1
"45",3.4,2
"46",9.6,5.6
"47",9.8,3.2
"48",3.2,0.8
"49",3.2,1
"50",2.8,1
"51",5.4,2.4
"52",4.6,1.2
"53",5.4,2.4
"54",4.6,2.8
"55",4.6,1.6
"56",3.8,1.4
"57",3.2,1
"58",8,5.8
"59",5.6,2.8
"60",4.8,1.2
"61",3.6,1
"62",6,2.2
"63",6.2,10.2
"64",14.6,9.2
"65",3.2,2.2
"66",5.4,3
"67",4.4,1.6
"68",5.2,1.6
"69",7.2,3.2
"70",2.6,0.6
"71",7.4,3.4
"72",5.8,1.6
"73",6.4,7.4
"74",3.4,1.2
"75",3.4,0.8
"76",7,4.8
"77",7.2,2.4
"78",3.6,1.4
"79",5.6,3.2
"80",6.6,7
"81",7.4,3.2
"82",2.4,0.6
"83",6.2,3.2
"84",5,5.2
"85",3,0.8
"86",4.4,0.8
"87",2.4,0.6
"88",8.4,3.6
"89",20,20
"90",5.6,4.6
"91",3.2,1.2
"92",17,8
"93",13,8.4
"94",20,17.6
"95",3.2,1.4
"96",4.8,1.2
"97",4.8,5.6
"98",6.4,4.8
"99",9.8,2.8
"100",3.2,1.6
