"","variance.1","variance.2"
"1",4.4,1.4
"2",4.6,1.4
"3",6,6.4
"4",4.2,2.6
"5",1.8,0.8
"6",3.4,1
"7",2.6,1.2
"8",3,1
"9",2.2,1
"10",2,1.4
"11",3,1.4
"12",3,1
"13",2,0.8
"14",2.8,0.8
"15",4.2,2.2
"16",5,2
"17",3.2,1.4
"18",1.6,0.6
"19",5.4,2.8
"20",2.2,1
"21",3.2,1.2
"22",4.2,1.8
"23",4.2,2.8
"24",3,0.8
"25",2.6,1
"26",2.2,0.8
"27",5,4.8
"28",2.4,1
"29",2.4,0.8
"30",3.8,2.4
"31",5.2,1.8
"32",3.4,0.6
"33",6,2
"34",2.4,1.2
"35",3.2,1.2
"36",2.8,1.2
"37",5,2.6
"38",1.8,0.6
"39",4.6,2.8
"40",4.4,1.6
"41",3,0.8
"42",3.2,2
"43",3,1.2
"44",2.6,1
"45",5,2.2
"46",1.8,0.6
"47",3,2.2
"48",3.2,1
"49",2,0.8
"50",4.6,1.4
"51",2.6,1.2
"52",2.6,0.8
"53",2.8,0.8
"54",8,3.8
"55",2.4,0.6
"56",3.4,0.8
"57",2.4,1
"58",3,2
"59",3.8,6.4
"60",3.4,4.8
"61",4.4,1.4
"62",2.2,0.8
"63",1.8,0.8
"64",2.2,1
"65",2.6,0.8
"66",2.8,1.2
"67",4.8,3.6
"68",3,0.8
"69",2.8,0.6
"70",2.8,1
"71",3.2,1.2
"72",3,1
"73",2.6,0.8
"74",2.4,1
"75",3.8,1
"76",2.2,0.8
"77",5.8,2.4
"78",3,1.2
"79",2.4,1.2
"80",3.6,1
"81",2.8,1
"82",2.2,0.6
"83",2.4,1
"84",10.2,4.4
"85",5.2,4.2
"86",5.2,2
"87",2.4,0.8
"88",2.6,0.8
"89",2.8,1.8
"90",2.8,1
"91",2.6,1.6
"92",4.6,1.8
"93",5.6,1.6
"94",5,1.2
"95",3,0.8
"96",1.8,0.6
"97",5,2.4
"98",3.4,1.8
"99",3.6,0.8
"100",6.4,2.4
