"","variance.1","variance.2"
"1",3.2,1
"2",3,1.4
"3",4.4,2
"4",3.2,0.8
"5",2.2,0.6
"6",3.6,1.6
"7",7.4,4.2
"8",2,0.4
"9",2.4,0.8
"10",2.6,0.6
"11",3.2,1.6
"12",2.4,0.8
"13",2.4,0.6
"14",2.4,1
"15",2.6,0.8
"16",2.4,0.6
"17",2.4,0.6
"18",4.6,4.4
"19",4.8,2.4
"20",16.4,4.6
"21",6.2,3.6
"22",2.4,0.8
"23",2.8,0.6
"24",3,1.2
"25",2.4,1.6
"26",2.6,1.6
"27",2.4,0.6
"28",3,1.4
"29",2.6,1.4
"30",3.6,1
"31",2.2,1.2
"32",3.6,1.8
"33",2,1.2
"34",4,2.2
"35",2.4,0.6
"36",4.2,4.6
"37",3,2
"38",2.2,0.8
"39",2,0.8
"40",3,0.8
"41",4,2
"42",1.8,1.4
"43",4.4,5.4
"44",2.2,0.6
"45",3.4,1.6
"46",4,0.8
"47",2.8,0.6
"48",1.8,0.6
"49",3.2,2.6
"50",2.6,1.4
"51",2.4,1
"52",3,0.6
"53",2.4,0.8
"54",2,0.6
"55",2.6,0.8
"56",3.6,3.2
"57",5.2,4.6
"58",2,0.8
"59",1.8,0.6
"60",2.6,0.8
"61",2.2,0.6
"62",2,0.8
"63",3,1.4
"64",5.6,2.8
"65",3,1
"66",2,1.2
"67",3,1.2
"68",7.6,2
"69",2.6,0.6
"70",2,0.8
"71",1.8,0.6
"72",3,1.6
"73",3.6,0.8
"74",5.2,1.4
"75",2.2,0.6
"76",2.4,0.8
"77",2.8,1.4
"78",3.8,1.4
"79",6.8,4.8
"80",2.4,0.6
"81",3,0.8
"82",3.6,1.2
"83",4.2,2.2
"84",2,0.6
"85",5.4,2
"86",2.8,1.2
"87",3.8,1.2
"88",2,1.2
"89",2,0.6
"90",2.8,1.2
"91",3,0.8
"92",3,1
"93",4.6,2.8
"94",3.2,1.4
"95",2.6,1.2
"96",2.4,1
"97",7.4,2.8
"98",6,2.4
"99",2.6,1
"100",3.4,1
