"","variance.1","variance.2"
"1",3,0.8
"2",2.6,0.8
"3",2.4,0.6
"4",3.4,1
"5",2.8,1
"6",2.4,1
"7",4.4,2.6
"8",2.2,0.8
"9",2,0.8
"10",5,1.6
"11",3.4,0.6
"12",2,0.6
"13",3.2,1.2
"14",3.6,1.8
"15",2.4,1.4
"16",2,1.4
"17",2.2,0.6
"18",3.2,0.8
"19",3.8,1.2
"20",2.4,0.6
"21",2.8,1
"22",2.4,2
"23",2,1
"24",2.6,1.4
"25",2.2,0.6
"26",3,1.4
"27",3.2,1.6
"28",3.8,5
"29",3.2,2.4
"30",2.6,0.8
"31",2.2,0.8
"32",2.8,0.8
"33",2,0.8
"34",4.6,2.4
"35",3.2,0.8
"36",2.8,0.8
"37",2.4,0.8
"38",2.4,0.8
"39",1.6,0.8
"40",3.2,0.8
"41",2.4,0.6
"42",2.4,1.2
"43",2.2,0.6
"44",2.6,0.6
"45",2.4,0.6
"46",2.4,0.6
"47",3.8,1.6
"48",2.2,1
"49",2.2,1.2
"50",10.2,6.6
"51",4.2,4.8
"52",3.8,1.4
"53",2,0.6
"54",2.4,0.6
"55",3,1
"56",1.8,0.8
"57",2.4,1
"58",4,1
"59",2.2,0.6
"60",2.8,1
"61",2.2,0.8
"62",5,2
"63",2.8,1.8
"64",2.8,1
"65",2.4,1
"66",2.4,0.6
"67",2.4,1.2
"68",2.2,0.6
"69",2.6,1
"70",2.6,0.6
"71",2,1.2
"72",2.2,0.8
"73",2.6,0.8
"74",4.6,1.4
"75",3.2,1
"76",3.4,2.8
"77",2,1
"78",3.4,2
"79",2.6,1
"80",8.2,5.8
"81",2.8,2.4
"82",2.4,0.8
"83",2.8,0.8
"84",2,0.6
"85",3.2,1
"86",2.6,0.8
"87",2.2,0.8
"88",6.6,3.2
"89",2.8,1.6
"90",2.6,1.2
"91",3.2,1
"92",3,1.6
"93",2.2,1
"94",3.4,1.6
"95",2.6,0.6
"96",2.8,0.6
"97",2.8,0.8
"98",2,0.8
"99",2.6,0.8
"100",2.4,1
