"","variance.1","variance.2"
"1",2.2,0.6
"2",3.2,1
"3",3.6,1.2
"4",3.8,1.4
"5",2.4,0.6
"6",2,1.6
"7",2.4,1
"8",2.4,0.6
"9",2,0.8
"10",3.2,0.8
"11",4,2
"12",3,0.8
"13",4.6,3.4
"14",4,2.2
"15",3,1.4
"16",2,0.6
"17",3.2,1.2
"18",5,2.4
"19",2.6,1.2
"20",3.2,0.8
"21",4,0.8
"22",4.2,1.4
"23",2.8,1.6
"24",2.2,0.8
"25",4,1.6
"26",2.2,1
"27",1.8,0.8
"28",4.8,1.2
"29",2.6,0.8
"30",2.8,1
"31",2.2,2.2
"32",3.6,1.8
"33",2.4,1.2
"34",2.4,2
"35",3,1
"36",1.8,0.8
"37",2.6,1.4
"38",4.6,1.6
"39",2.2,0.6
"40",2.6,1.4
"41",2.2,0.4
"42",2.6,0.8
"43",3,1.2
"44",3.8,1
"45",3.2,2.2
"46",2,1.2
"47",6,7.2
"48",3.8,1.2
"49",2.4,0.8
"50",1.6,0.8
"51",2.6,0.6
"52",6.6,2.6
"53",3.2,2.6
"54",2,0.6
"55",2.4,0.6
"56",2.4,0.8
"57",3,1.6
"58",5.2,3.2
"59",3.6,1
"60",3,0.8
"61",3,1
"62",2,1.6
"63",2,0.8
"64",4.4,1.6
"65",1.8,0.8
"66",2.6,0.6
"67",5.2,2.6
"68",3,1.6
"69",3.2,0.8
"70",2,0.8
"71",2.4,1
"72",2.6,1.8
"73",2.2,0.6
"74",4,1.8
"75",3,0.6
"76",3.8,1
"77",2.8,1.2
"78",3.8,1.2
"79",2.2,0.6
"80",2.2,0.6
"81",2.6,0.8
"82",2.6,1.4
"83",7.8,3.2
"84",2.4,0.8
"85",2.2,1
"86",1.8,1.6
"87",4.4,1.2
"88",5.8,4.2
"89",2.6,1
"90",2.4,0.6
"91",2.4,1
"92",3,1
"93",2.4,0.6
"94",3.6,1.4
"95",2,0.8
"96",1.6,0.8
"97",3,3.4
"98",3.8,1.2
"99",2.4,0.8
"100",2.4,1.2
